Almost ^rb+hdg+++=Almost
all ^abn++++=all
interviewees ^nns++++=interviewees
indicated ^vbd+vprv++xvbn+=indicated
a ^at++++=a
preference ^nn++++=preference
for ^in++++=for
municipalities ^nns+++??+=municipalities
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
achieved ^vbd+++xvbnx+=achieved
stronger ^jjr+atrb+++=stronger
electoral ^jj+atrb+++=electoral
performance ^nn++++=performance,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
by ^in++++=by
receiving ^xvbg+++xvbg+=receiving
a ^at++++=a
significant ^jj+atrb+++=significant
number ^nn++++=number
of ^in++++=of
votes ^nns++++=votes
or ^cc++++=or
by ^in++++=by
being ^xvbg+++xvbg+=being
the ^ati++++=the
most ^ql+emph+++=most
voted ^jj+atrb++xvbn+=voted
state ^nn++++=state
representative ^nn++++=representative.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
tend ^vb++++=tend
to ^to+vcmp+++=to
prioritize ^vbi+++??+=prioritize
municipalities ^nns+++??+=municipalities
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
anticipate ^vb++++=anticipate
high ^jj+atrb+++=high
electoral ^jj+atrb+++=electoral
returns ^nns++++=returns,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
other ^ap++++=other
considerations ^nns++++=considerations,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
political ^jj+atrb+++=political
loyalty ^nn++++=loyalty,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
occasionally ^rb++++=occasionally
lead ^nn++++=lead
to ^in++++=to
different ^jj+atrb+++=different
decisions ^nns++++=decisions.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
interviewee ^vb+++??+=interviewee
explained ^vbd+vpub+tht0+xvbn+=explained
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
after ^in++++=after
compiling ^nn++++=compiling
all ^abn++++=all
requests ^nns++++=requests
from ^in++++=from
mayors ^npts++++=mayors,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
follows ^vbz+vprv+++=follows
a ^at++++=a
specific ^jj+atrb+++=specific
procedure ^nn++++=procedure:
: ^zz++++=EXTRAWORD
