While ^cs+sub+++=While
conducting ^vbg+++xvbg+=conducting
research ^nn++++=research
on ^in++++=on
social ^jj+atrb+++=social
issues ^nns++++=issues
in ^in++++=in
which ^whp+rel+pied++=which
language ^nn++++=language
plays ^nns++++=plays
a ^at++++=a
constitutive ^jj+atrb+++=constitutive
role ^nn++++=role,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
aims ^nns++++=aims
not ^xnot++not++=not
only ^rb+down+++=only
to ^in++++=to
analyze ^nn+++??+=analyze
these ^dt+dem+++=these
issues ^nns++++=issues
but ^cc++++=but
also ^rb++++=also
to ^to++++=to
promote ^vbi++++=promote
interventions ^nns++++=interventions
addressing ^vwbg+++xvbg+=addressing
the ^ati++++=the
identified ^jj+atrb++xvbn+=identified
problems ^nns++++=problems
( ^zz++++=(Schlatter,
schlatter ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
adopting ^vbg+++xvbg+=adopting
an ^at++++=an
Applied ^jj+atrb++xvbn+=Applied
Linguistics ^nn++++=Linguistics
perspective ^nn++++=perspective.
. ^zz++++=EXTRAWORD
Mason ^np++++=Mason
( ^zz++++=(2002)
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
qualitative ^jj+atrb+++=qualitative
research ^nn++++=research
should ^md+nec+++=should
be ^vb+be+aux++=be
undertaken ^vpsv++agls+xvbnx+=undertaken
as ^ql++++=as
a ^at++++=a
moral ^jj+atrb+++=moral
practice ^nn++++=practice
and ^cc++++=and
with ^in++++=with
consideration ^nn++++=consideration
of ^in++++=of
its ^pp$+it+++=its
political ^jj+atrb+++=political
context ^nn++++=context
( ^zz++++=(p.
p ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
8 ^zz++++=8).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
address ^nn++++=address
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
adapted ^vbd+++xvbn+=adapted
English ^jj++++=English
as ^ql++++=as
an ^at++++=an
Additional ^jj+atrb+++=Additional
Language ^nn++++=Language
( ^zz++++=(EAL)
eal ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
materials ^nns++++=materials
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students
in ^in++++=in
the ^ati++++=the
6th ^cd++++=6th
grade ^nn++++=grade.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
research ^nn++++=research
is ^vbz+bez+vrb++=is
also ^rb++++=also
propositional ^nn+++??+=propositional
in ^in++++=in
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
provides ^vbz+vsua+++=provides
an ^at++++=an
adaptation ^nn++++=adaptation
of ^in++++=of
Eal ^np+++??+=EAL
activities ^nns++++=activities
to ^in++++=to
better ^jjr++++=better
meet ^vb++++=meet
the ^ati++++=the
learning ^vbg+vprv++xvbg+=learning
needs ^nns++++=needs
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
