Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
mayors ^npts++++=mayors
often ^rb++++=often
establish ^vb+vprv+++=establish
relationships ^nns++++=relationships
with ^in++++=with
state ^nn++++=state
and ^cc++++=and
national ^jj+atrb+++=national
representatives ^nns++++=representatives
to ^to++++=to
facilitate ^vbi++++=facilitate
investments ^nns++++=investments
in ^in++++=in
infrastructure ^nn+++??+=infrastructure
and ^cc++++=and
public ^jj+atrb+++=public
works ^nns++++=works
projects ^nns++++=projects,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
widely ^rb++splt++=widely
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
key ^jjb+atrb+++=key
indicators ^nns++++=indicators
of ^in++++=of
effective ^jj+atrb+++=effective
local ^jj+atrb+++=local
administration ^nn++++=administration
( ^zz++++=(Palmeira
palmeira ^nn+++??+=EXTRAWORD
and ^cc++++=and
Goldman ^np+++??+=Goldman,
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996;
; ^zz++++=EXTRAWORD
Bezerra ^np+++??+=Bezerra,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
mayors ^npts++++=mayors
may ^md+pos+++=may
present ^vb++++=present
these ^dt+dem+++=these
connections ^nns++++=connections
to ^in++++=to
voters ^nns++++=voters
as ^in++++=as
evidence ^nn++++=evidence
of ^in++++=of
their ^pp$+pp3+++=their
political ^jj+atrb+++=political
influence ^nn++++=influence
and ^cc++++=and
capacity ^nn++++=capacity
to ^to+ncmp+++=to
secure ^vbi++++=secure
resources ^nns++++=resources
for ^in++++=for
the ^ati++++=the
municipality ^nn++++=municipality
( ^zz++++=(Chaves,
chaves ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996;
; ^zz++++=EXTRAWORD
Bezerra ^np+++??+=Bezerra,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
Eduardo ^np+++??+=Eduardo,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
many ^ap++++=many
legislators ^nns+++??+=legislators
also ^rb++++=also
rely ^vb++++=rely
on ^in++++=on
mayors ^npts++++=mayors
to ^to++++=to
claim ^vbi++++=claim
credit ^nn++++=credit
for ^in++++=for
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
enhance ^vb++++=enhance
their ^pp$+pp3+++=their
reputations ^nns++++=reputations
within ^in++++=within
their ^pp$+pp3+++=their
constituencies ^nns++++=constituencies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ultimately ^rb++++=ultimately
increase ^vb++++=increase
their ^pp$+pp3+++=their
electoral ^jj+atrb+++=electoral
support ^nn++++=support.
. ^zz++++=EXTRAWORD
