Mayors ^np+++??+=Mayors
and ^cc++++=and
councilors ^nns+++??+=councilors
serve ^vb++++=serve
a ^at++++=a
significant ^jj+atrb+++=significant
informational ^nn+++??+=informational
function ^nn++++=function
for ^in++++=for
state ^nn++++=state
legislators ^nns+++??+=legislators.
. ^zz++++=EXTRAWORD
Evidence ^nn++++=Evidence
from ^in++++=from
our ^pp$+pp1+++=our
interviews ^nns++++=interviews
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
legislators ^nns+++??+=legislators
allocate ^nn+++??+=allocate
resources ^nns++++=resources
in ^in++++=in
response ^nn++++=response
to ^in++++=to
requests ^nns++++=requests
from ^in++++=from
municipalities ^nns+++??+=municipalities
and ^cc++++=and
regularly ^rb++++=regularly
consult ^vb++++=consult
with ^in++++=with
mayors ^npts++++=mayors
and ^cc++++=and
councilors ^nns+++??+=councilors
during ^in++++=during
negotiations ^nns++++=negotiations
concerning ^in++++=concerning
budget ^nn++++=budget
amendments ^nns++++=amendments.
. ^zz++++=EXTRAWORD
Legislators ^np+++??+=Legislators
depend ^vb++++=depend
on ^in++++=on
these ^dt+dem+++=these
local ^jj+atrb+++=local
brokers ^nns++++=brokers
to ^to++++=to
identify ^vbi++++=identify
which ^whp+who+++=which
benefits ^nns++++=benefits
are ^vb+ber+aux++=are
most ^ql+emph+++=most
valued ^vpsv++by+xvbn+=valued
by ^in++++=by
the ^ati++++=the
population ^nn++++=population
and ^cc++++=and
to ^to++++=to
adjust ^vbi++++=adjust
resource ^nn++++=resource
distribution ^nn++++=distribution
accordingly ^rb++++=accordingly.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
support ^nn++++=support
from ^in++++=from
brokers ^nns++++=brokers,
, ^zz++++=EXTRAWORD
legislators ^nns+++??+=legislators
would ^md+prd+++=would
encounter ^vb++++=encounter
greater ^jjr++++=greater
challenges ^vbz++++=challenges
in ^in++++=in
effectively ^rb++++=effectively
representing ^vbg+++xvbg+=representing
their ^pp$+pp3+++=their
constituents ^nns++++=constituents
and ^cc++++=and
shaping ^nn++++=shaping
public ^jj+atrb+++=public
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
