Among ^in++++=Among
the ^ati++++=the
three ^cd++++=three
techniques ^nns++++=techniques
reviewed ^vwbn+++xvbn+=reviewed
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
both ^abx++++=both
panoramic ^jj+atrb+++=panoramic
radiography ^nn+++??+=radiography
and ^cc++++=and
cone ^nn++++=cone-beam
- ^zz++++=EXTRAWORD
beam ^nn++++=EXTRAWORD
computed ^vwbn+++xvbn+=computed
tomography ^nn+++??+=tomography
are ^vb+ber+vrb++=are
useful ^jj+pred+++=useful
for ^in++++=for
the ^ati++++=the
evaluation ^nn++++=evaluation
of ^in++++=of
the ^ati++++=the
mandibular ^jj+atrb+++=mandibular
canal ^nn++++=canal.
. ^zz++++=EXTRAWORD
