Consistent ^jj++++=Consistent
with ^in++++=with
previous ^jj+atrb+++=previous
studies ^nns++++=studies
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
Brazil ^np++++=Brazil
and ^cc++++=and
the ^ati++++=the
comparative ^jj+atrb+++=comparative
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
findings ^nns++++=findings
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
cooperation ^nn++++=cooperation
between ^in++++=between
state ^nn++++=state
representatives ^nns++++=representatives
and ^cc++++=and
local ^jj+atrb+++=local
brokers ^nns++++=brokers
is ^vbz+bez+vrb++=is
mutually ^rb++++=mutually
beneficial ^jj+pred+++=beneficial,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
associated ^jj+atrb++xvbn+=associated
risks ^nns++++=risks.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
these ^dt+dem+++=these
risks ^nns++++=risks
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
conceptualized ^vpsv++agls+xvbnx+=conceptualized
as ^ql++++=as
dilemmas ^nns++++=dilemmas
characteristic ^nn++++=characteristic
of ^in++++=of
principal ^jjb++++=principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
models ^nns++++=models.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
analysis ^nn++++=analysis
does ^vbz+doz+aux++=does
not ^xnot++not++=not
support ^vb++++=support
the ^ati++++=the
existence ^nn++++=existence
of ^in++++=of
an ^at++++=an
inherent ^jj+atrb+++=inherent
conflict ^nn++++=conflict
of ^in++++=of
objectives ^nns++++=objectives
between ^in++++=between
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
cases ^nns++++=cases
involving ^vwbg+++xvbg+=involving
brokers ^nns++++=brokers
who ^whp+rel+subj++=who
currently ^rb++++=currently
hold ^vb+vprv+++=hold
or ^cc++++=or
have ^vb+hv+aux++=have
previously ^rb+tm+splt++=previously
held ^vprf+++xvbnx+=held
elective ^nn+++??+=elective
office ^nn++++=office.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
information ^nn++++=information
asymmetry ^nn+++??+=asymmetry
exists ^vbz++++=exists
between ^in++++=between
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
systematically ^rb++++=systematically
advantage ^vb++++=advantage
agents ^nns++++=agents
or ^cc++++=or
brokers ^nns++++=brokers.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
empirical ^jj+atrb+++=empirical
support ^nn++++=support
for ^in++++=for
the ^ati++++=the
core ^nn++++=core
assumptions ^nns++++=assumptions
of ^in++++=of
principal ^jjb++++=principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
theories ^nns++++=theories,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
emphasize ^vb++++=emphasize
the ^ati++++=the
limitations ^nns++++=limitations
of ^in++++=of
these ^dt+dem+++=these
frameworks ^nns++++=frameworks
in ^in++++=in
describing ^xvbg+++xvbg+=describing
and ^cc++++=and
analyzing ^nn+++??+=analyzing
the ^ati++++=the
relationships ^nns++++=relationships
examined ^vwbn+++xvbn+=examined
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
principal ^jjb++++=principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
theories ^nns++++=theories
should ^md+nec+++=should
not ^xnot++not++=not
serve ^vb++++=serve
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
analytical ^jj+atrb+++=analytical
framework ^nn++++=framework
for ^in++++=for
understanding ^xvbg+++xvbg+=understanding
these ^dt+dem+++=these
interactions ^nns++++=interactions.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
may ^md+pos+++=may
be ^vb+be+vrb++=be
useful ^jj+pred+++=useful
as ^in++++=as
heuristic ^jj+atrb+++=heuristic
tools ^nns++++=tools
if ^cs+cnd+++=if
applied ^vwbn+++xvbn+=applied
with ^in++++=with
greater ^jjr+atrb+++=greater
flexibility ^nn++++=flexibility,
, ^zz++++=EXTRAWORD
recognizing ^vbg+++xvbg+=recognizing
that ^tht+vcmp+++=that
actors ^nns++++=actors
engage ^vb++++=engage
in ^in++++=in
multiple ^nn++++=multiple,
, ^zz++++=EXTRAWORD
overlapping ^jj+atrb++xvbg+=overlapping
relationships ^nns++++=relationships
across ^in+pl+++=across
various ^jj+atrb+++=various
levels ^nns++++=levels
and ^cc++++=and
timeframes ^nns+++??+=timeframes,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
as ^cs+sub+++=as
fixed ^jj+++xvbn+=fixed
superior ^jj++++=superior-subordinate
- ^zz++++=EXTRAWORD
subordinate ^jj+atrb+++=EXTRAWORD
dyads ^nns+++??+=dyads
( ^zz++++=(Waterman
waterman ^nn+++??+=EXTRAWORD
and ^cc++++=and
Meier ^np+++??+=Meier,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
essential ^jj+pred+++=essential
to ^to+jcmp+++=to
account ^vb++++=account
for ^in+ppvb+++=for
contextual ^nn+++??+=contextual
factors ^nns++++=factors
that ^tht+rel+obj++=that
influence ^nn++++=influence
levels ^nns++++=levels
of ^in++++=of
uncertainty ^nn++++=uncertainty,
, ^zz++++=EXTRAWORD
informational ^nn+++??+=informational
asymmetry ^nn+++??+=asymmetry,
, ^zz++++=EXTRAWORD
interdependence ^nn+++??+=interdependence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
alignment ^nn++++=alignment
of ^in++++=of
interests ^nns++++=interests
and ^cc++++=and
objectives ^nns++++=objectives.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
elements ^nns++++=elements
often ^rb++++=often
treated ^vbd+++xvbn+=treated
as ^ql++++=as
universal ^nn++++=universal
assumptions ^nns++++=assumptions
should ^md+nec+++=should
instead ^rb+cnj+++=instead
be ^vb+be+aux++=be
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
variables ^nns++++=variables
( ^zz++++=(Waterman
waterman ^nn+++??+=EXTRAWORD
and ^cc++++=and
Meier ^np+++??+=Meier,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
acknowledges ^vbz++++=acknowledges
that ^tht+vcmp+++=that
the ^ati++++=the
dynamics ^nn++++=dynamics
of ^in++++=of
these ^dt+dem+++=these
relationships ^nns++++=relationships
may ^md+pos+++=may
vary ^vb++++=vary
according ^in+cmpx+++=according
to ^in++++=to
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
municipality ^nn++++=municipality
size ^nn++++=size,
, ^zz++++=EXTRAWORD
proximity ^nn++++=proximity
to ^in++++=to
elections ^nns++++=elections,
, ^zz++++=EXTRAWORD
degree ^nn++++=degree
of ^in++++=of
electoral ^jj+atrb+++=electoral
competition ^nn++++=competition,
, ^zz++++=EXTRAWORD
levels ^nns++++=levels
of ^in++++=of
party ^nn++++=party
system ^nn++++=system
institutionalization ^nn+++??+=institutionalization,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
potential ^jj+atrb+++=potential
scale ^nn++++=scale
of ^in++++=of
brokerage ^nn++++=brokerage
networks ^nns++++=networks,
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others.
