There ^ex+pex+++=There
are ^vb+ber+vrb++=are
several ^ap++++=several
mechanisms ^nns++++=mechanisms
for ^in++++=for
establishing ^xvbg+++xvbg+=establishing
partnerships ^nns+++??+=partnerships,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
personal ^jj+atrb+++=personal
relationships ^nns++++=relationships
and ^cc++++=and
geographical ^jj+atrb+++=geographical
proximity ^nn++++=proximity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evidence ^nn++++=evidence
presented ^vwbn+++xvbn+=presented
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
reputation ^nn++++=reputation
is ^vbz+bez+vrb++=is
a ^at++++=a
critical ^jj+atrb+++=critical
factor ^nn++++=factor
in ^in++++=in
the ^ati++++=the
selection ^nn++++=selection
of ^in++++=of
brokers ^nns++++=brokers,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
political ^jj+atrb+++=political
parties ^nns++++=parties
function ^nn++++=function
more ^rbr++++=more
as ^ql++++=as
potential ^jj+atrb+++=potential
veto ^nn++++=veto
points ^nns++++=points
contingent ^nn++++=contingent
on ^in++++=on
the ^ati++++=the
local ^jj+atrb+++=local
political ^jj+atrb+++=political
context ^nn++++=context
than ^in++++=than
as ^ql++++=as
primary ^jj+atrb+++=primary
criteria ^nns++++=criteria
for ^in++++=for
alliance ^nn++++=alliance
formation ^nn++++=formation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
further ^jjb++++=further
demonstrates ^vbz+vpub+++=demonstrates
that ^tht+vcmp+++=that
the ^ati++++=the
electoral ^jj+atrb+++=electoral
benefits ^nns++++=benefits
of ^in++++=of
such ^abl++++=such
partnerships ^nns+++??+=partnerships
for ^in++++=for
legislators ^nns+++??+=legislators
are ^vb+ber+vrb++=are
uncertain ^jj+pred+++=uncertain
and ^cc++++=and
require ^vb+vsua+++=require
considerable ^jj+atrb+++=considerable
effort ^nn++++=effort
in ^in++++=in
information ^nn++++=information
gathering ^vwbg+++xvbg+=gathering,
, ^zz++++=EXTRAWORD
negotiation ^nn++++=negotiation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
prioritization ^nn+++??+=prioritization
of ^in++++=of
support ^nn++++=support
for ^in++++=for
local ^jj+atrb+++=local
politicians ^nns++++=politicians.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
electoral ^jj+atrb+++=electoral
defeats ^nns++++=defeats
are ^vb+ber+vrb++=are
the ^ati++++=the
primary ^jj+atrb+++=primary
cause ^nn++++=cause
of ^in++++=of
the ^ati++++=the
dissolution ^nn++++=dissolution
of ^in++++=of
these ^dt+dem+++=these
relationships ^nns++++=relationships,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
representatives ^nns++++=representatives
generally ^rb+down+++=generally
do ^vb+do+aux++=do
not ^xnot++not++=not
seek ^vb++++=seek
to ^in+vcmp+++=to
penalize ^jj+atrb+++=penalize
local ^jj+atrb+++=local
brokers ^nns++++=brokers
who ^whp+rel+subj++=who
fail ^vb++++=fail
to ^to+vcmp+++=to
meet ^vb++++=meet
expectations ^nns++++=expectations.
. ^zz++++=EXTRAWORD
