There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
prior ^jj+atrb+++=prior
research ^nn++++=research
concerning ^in++++=concerning
the ^ati++++=the
education ^nn++++=education
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students
in ^in++++=in
various ^jj+atrb+++=various
domains ^nns++++=domains,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
english ^jj++++=English
( ^zz++++=(Oliveira
oliveira ^nn++++=EXTRAWORD
& ^zz++++=&
reily ^np++++=Reily,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
