It ^pp3+it+++=It
aims ^vbz++++=aims
to ^to+vcmp+++=to
encourage ^vbi++++=encourage
students ^nns++++=students
to ^to++++=to
engage ^vbi++++=engage
in ^in++++=in
physical ^jj+atrb+++=physical
activity ^nn++++=activity
and ^cc++++=and
avoid ^vb++++=avoid
a ^at++++=a
sedentary ^nn+++??+=sedentary
lifestyle ^nn+++??+=lifestyle,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
important ^jj++++=important
given ^jj+++xvbn+=given
that ^dt+dem+++=that
sedentary ^nn+++??+=sedentary
behavior ^nn++++=behavior
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
various ^jj+atrb+++=various
diseases ^nns++++=diseases
( ^zz++++=(Marcos
marcos ^nns++++=EXTRAWORD
math ^np++++=Math
teacher ^nn++++=teacher).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
