Among ^in++++=Among
the ^ati++++=the
Heliconia ^np+++??+=Heliconia
species ^nns++++=species
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
farinosa ^nn+++??+=farinosa
is ^vbz+bez+vrb++=is
morphologically ^rb++++=morphologically
similar ^jj+pred+++=similar
to ^in++++=to
H ^zz++++=H.
. ^zz++++=EXTRAWORD
subulata ^nn+++??+=subulata
Ruiz ^np+++??+=Ruiz
& ^zz++++=&
Pav ^np+++??+=Pav.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
exclusively ^rb++++=exclusively
elliptical ^jj+atrb+++=elliptical
leaf ^nn++++=leaf
blades ^nns++++=blades,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
foliate ^nn+++??+=foliate
basal ^jj+atrb+++=basal
bracts ^nns+++??+=bracts
that ^tht+rel+obj++=that
may ^md+pos+++=may
be ^vb+be+vrb++=be
either ^dtx++++=either
fertile ^jj++++=fertile
or ^cc+phrs+++=or
sterile ^jj++++=sterile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
oval ^jj++++=oval-lanceolate
- ^zz++++=EXTRAWORD
lanceolate ^nn+++??+=EXTRAWORD
bracteoles ^nns+++??+=bracteoles,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
H ^zz++++=H.
. ^zz++++=EXTRAWORD
subulata ^nn+++??+=subulata
exhibits ^nns++++=exhibits
elliptical ^jj+atrb+++=elliptical
or ^cc+phrs+++=or
oblong ^jj+atrb+++=oblong
blades ^nns++++=blades,
, ^zz++++=EXTRAWORD
fertile ^jj+atrb+++=fertile
basal ^jj+atrb+++=basal
bracts ^nns+++??+=bracts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
elliptical ^jj+atrb+++=elliptical
bracteoles ^nns+++??+=bracteoles
( ^zz++++=(Braga
braga ^nn+++??+=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
farinosa ^nn+++??+=farinosa
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
other ^ap++++=other
Zingiberales ^np+++??+=Zingiberales
present ^nn++++=present
in ^in++++=in
the ^ati++++=the
N ^zz++++=N
cleo ^nn+++??+=cleo
Curucutu ^np+++??+=Curucutu
by ^in++++=by
its ^pp$+it+++=its
characteristic ^jj+atrb+++=characteristic
boat ^nn++++=boat-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb+++=EXTRAWORD
bracts ^nns++++=bracts
and ^cc++++=and
predominantly ^rb++++=predominantly
lacerated ^nn++++=lacerated
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
