Within ^in++++=Within
the ^ati++++=the
legal ^jj+atrb+++=legal
system ^nn++++=system,
, ^zz++++=EXTRAWORD
several ^ap++++=several
benefits ^nns++++=benefits
were ^vbd+bed+aux++=were
introduced ^vpsv++agls+xvbnx+=introduced
over ^in++++=over
the ^ati++++=the
past ^jjb+atrb+++=past
decade ^nn++++=decade,
, ^zz++++=EXTRAWORD
including ^in++++=including
compensation ^nn++++=compensation
for ^in++++=for
eviction ^nn++++=eviction,
, ^zz++++=EXTRAWORD
premature ^jj+atrb+++=premature
separation ^nn++++=separation,
, ^zz++++=EXTRAWORD
maternity ^nn++++=maternity,
, ^zz++++=EXTRAWORD
disability ^nn++++=disability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
overtime ^nn++++=overtime
work ^nn++++=work,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
regulations ^nns++++=regulations
restricting ^vwbg+++xvbg+=restricting
working ^jj+atrb++xvbg+=working
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
days ^nns++++=days
of ^in++++=of
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
employment ^nn++++=employment
of ^in++++=of
minors ^nns+++??+=minors.
. ^zz++++=EXTRAWORD
As ^in++++=As
discussed ^nn++++=discussed
in ^in++++=in
this ^dt+dem+++=this
article ^nn++++=article,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
reasonably ^rb++splt++=reasonably
assumed ^vpsv++agls+xvbnx+=assumed
that ^tht+vcmp+++=that
these ^dt+dem+++=these
legal ^jj+atrb+++=legal
provisions ^nns++++=provisions
are ^vb+ber+vrb++=are
applicable ^jj+pred+++=applicable
within ^in++++=within
the ^ati++++=the
labor ^nn++++=labor
sectors ^nns++++=sectors
of ^in++++=of
the ^ati++++=the
centralized ^jj+atrb+++=centralized
public ^jj+atrb+++=public
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
