Student ^nn++++=Student
autonomy ^nn++++=autonomy
and ^cc++++=and
independence ^nn++++=independence
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
examined ^vpsv++agls+xvbnx+=examined
in ^in++++=in
several ^ap++++=several
studies ^nns++++=studies
( ^zz++++=(Biagini
biagini ^nn+++??+=EXTRAWORD
& ^zz++++=&
Gon ^np+++??+=Gon
alves ^nns+++??+=alves,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Ferreira ^np+++??+=Ferreira
& ^zz++++=&
Dickman ^np+++??+=Dickman,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Uliana ^np+++??+=Uliana,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Camargo ^np+++??+=Camargo
& ^zz++++=&
Nardi ^np+++??+=Nardi,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006;
; ^zz++++=EXTRAWORD
Oliveira ^np+++??+=Oliveira
& ^zz++++=&
Reily ^np+++??+=Reily,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
highlight ^nn++++=highlight
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
fostering ^nn+++??+=fostering
self ^nn++++=self-directed
- ^zz++++=EXTRAWORD
directed ^vbd+++xvbn+=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning
and ^cc++++=and
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
skills ^nns++++=skills
among ^in++++=among
students ^nns++++=students.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
works ^nns++++=works
emphasize ^vb++++=emphasize
that ^tht+vcmp+++=that
promoting ^vbg+++xvbg+=promoting
autonomy ^nn++++=autonomy
contributes ^vbz++++=contributes
to ^in++++=to
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
critical ^jj+atrb+++=critical
thinking ^nvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
responsibility ^nn++++=responsibility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
manage ^vbi++++=manage
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
own ^ap++++=own
learning ^nn++++=learning
process ^nn++++=process
effectively ^rb++++=effectively.
. ^zz++++=EXTRAWORD
