The ^ati++++=The
aim ^nn++++=aim
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+aux++=is
to ^to++++=to
propose ^vbi++++=propose
adaptations ^nns++++=adaptations
for ^in++++=for
didactic ^nn+++??+=didactic
activities ^nns++++=activities
from ^in++++=from
the ^ati++++=the
most ^ql+emph+++=most
widely ^rb++++=widely
used ^vbd+++xvbn+=used
textbook ^nn++++=textbook
in ^in++++=in
Santa ^&fw++++=Santa
Maria ^&fw++++=Maria,
, ^zz++++=EXTRAWORD
Rs ^np+++??+=RS,
, ^zz++++=EXTRAWORD
in ^in++++=in
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
for ^in++++=for
sixth ^od++++=sixth-grade
- ^zz++++=EXTRAWORD
grade ^nn++++=EXTRAWORD
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
To ^to++++=To
achieve ^vbi++++=achieve
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
a ^at++++=a
literature ^nn++++=literature
review ^nn++++=review
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
focusing ^nn+++??+=focusing
on ^in++++=on
previous ^jj+atrb+++=previous
research ^nn++++=research
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
teaching ^jj+atrb++xvbg+=teaching
and ^cc+phrs+++=and
learning ^jj+atrb++xvbg+=learning
processes ^nns++++=processes
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
this ^dt+dem+++=this
review ^nn++++=review,
, ^zz++++=EXTRAWORD
adaptations ^nns++++=adaptations
of ^in++++=of
selected ^jj+atrb++xvbn+=selected
didactic ^nn+++??+=didactic
activities ^nns++++=activities
for ^in++++=for
blind ^jj+atrb+++=blind
students ^nns++++=students
are ^vb+ber+aux++=are
suggested ^vpsv++agls+xvbnx+=suggested.
. ^zz++++=EXTRAWORD
Prior ^jj++++=Prior
to ^to++++=to
discussing ^vbi++++=discussing
these ^dt+dem+++=these
adaptations ^nns++++=adaptations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
sections ^nns++++=sections
present ^vb++++=present
an ^at++++=an
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
national ^jj+atrb+++=national
inclusion ^nn++++=inclusion
of ^in++++=of
blind ^jj+atrb+++=blind
individuals ^nns++++=individuals
in ^in++++=in
social ^jj+atrb+++=social
and ^cc+phrs+++=and
educational ^jj+atrb+++=educational
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
including ^in++++=including
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
relevant ^jj+atrb+++=relevant
national ^jj+atrb+++=national
legislation ^nn++++=legislation,
, ^zz++++=EXTRAWORD
historical ^jj+atrb+++=historical
milestones ^nns+++??+=milestones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
key ^jjb+atrb+++=key
perspectives ^nns++++=perspectives
on ^in++++=on
the ^ati++++=the
education ^nn++++=education
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students.
. ^zz++++=EXTRAWORD
