As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Hlma ^np+++??+=HLMA
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
the ^ati++++=the
testimony ^nn++++=testimony
of ^in++++=of
the ^ati++++=the
woman ^nn++++=woman
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
prompt ^vbi++++=prompt
the ^ati++++=the
indexical ^nn+++??+=indexical
social ^jj+atrb+++=social
actors ^nns++++=actors
to ^to++++=to
renew ^vbi++++=renew
their ^pp$+pp3+++=their
promotion ^nn++++=promotion
of ^in++++=of
the ^ati++++=the
toothpaste ^nn++++=toothpaste,
, ^zz++++=EXTRAWORD
encouraging ^jj++++=encouraging
both ^abx++++=both
viewers ^nns++++=viewers
and ^cc++++=and
the ^ati++++=the
testifier ^nn+++??+=testifier
to ^to++++=to
" ^zz++++="Stay
stay ^vb++++=EXTRAWORD
strong ^jj++++=strong"
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="Stay
stay ^vb++++=EXTRAWORD
fresh ^jj++++=fresh."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
viewers ^nns++++=viewers
are ^vb+ber+aux++=are
advised ^vpsv++agls+xvbnx+=advised
to ^to+vcmp+++=to
rely ^vbi++++=rely
on ^in++++=on
the ^ati++++=the
dual ^jj+atrb+++=dual
benefits ^nns++++=benefits
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
Oral-b ^np++++=Oral-B's
's ^$++++=EXTRAWORD
2 ^zz++++=2-IN-1
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
formula ^nn++++=formula.
. ^zz++++=EXTRAWORD
Consumers ^nns++++=Consumers
are ^vb+ber+aux++=are
encouraged ^vpsv++agls+xvbnx+=encouraged
to ^to+vcmp+++=to
consistently ^rb++splt++=consistently
use ^vbi++++=use
the ^ati++++=the
product ^nn++++=product,
, ^zz++++=EXTRAWORD
as ^ql++++=as
regular ^jj+atrb+++=regular
use ^nn++++=use
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
maintaining ^xvbg+++xvbg+=maintaining
strong ^jj+atrb+++=strong
teeth ^nns++++=teeth
and ^cc++++=and
long ^jj++++=long-lasting
- ^zz++++=EXTRAWORD
lasting ^jj+atrb++xvbg+=EXTRAWORD
fresh ^jj+atrb+++=fresh
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
point ^nn++++=point,
, ^zz++++=EXTRAWORD
the ^ati++++=the
image ^nn++++=image
of ^in++++=of
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
depicted ^vpsv++agls+xvbnx+=depicted
in ^in++++=in
motion ^nn++++=motion,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
three ^cd++++=three
instances ^nns++++=instances
( ^zz++++=(O-BT30
o ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
bt30 ^nn+++??+=EXTRAWORD
to ^in++++=to
O ^zz++++=O-BT32).
- ^zz++++=EXTRAWORD
bt32 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
transcripts ^nns+++??+=transcripts
are ^vb+ber+vrb++=are
noteworthy ^jj+pred+++=noteworthy
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
demonstrate ^vb+vprv+++=demonstrate
the ^ati++++=the
dynamic ^jj+atrb+++=dynamic
movement ^nn++++=movement
of ^in++++=of
the ^ati++++=the
toothpaste ^nn++++=toothpaste
s ^zz++++=s
white ^jj+atrb+++=white
content ^nn++++=content,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
shown ^vpsv++agls+xvbnx+=shown
rolling ^vbg+++xvbg+=rolling
from ^in++++=from
an ^at++++=an
upper ^jjb+atrb+++=upper
source ^nn++++=source
down ^in++++=down
to ^in++++=to
the ^ati++++=the
labeled ^nn++++=labeled
carton ^nn++++=carton
of ^in++++=of
oral ^jj++++=Oral-B.
- ^zz++++=EXTRAWORD
b. ^nn++++=EXTRAWORD
