The ^ati++++=The
textbook ^nn++++=textbook
was ^vbd+bedz+aux++=was
selected ^vpsv++agls+xvbnx+=selected
according ^in++++=according
to ^to++++=to
two ^cd++++=two
criteria ^nns++++=criteria
established ^vwbn+++xvbn+=established
by ^in++++=by
Cargnin ^np+++??+=Cargnin,
, ^zz++++=EXTRAWORD
Rossi ^np++++=Rossi,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ticks ^np+++??+=Ticks
( ^zz++++=(2018,
2018 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
562 ^cd++++=562):
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
textbook ^nn++++=textbook
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
approved ^vpsv++by+xvbnx+=approved
by ^in++++=by
the ^ati++++=the
Pnld ^np+++??+=PNLD
in ^in++++=in
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
selected ^jj+atrb++xvbn+=selected
textbook ^nn++++=textbook
by ^in++++=by
sixth ^od++++=sixth-grade
- ^zz++++=EXTRAWORD
grade ^nn++++=EXTRAWORD
English ^jj+atrb+++=English
language ^nn++++=language
teachers ^nns++++=teachers
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools
in ^in++++=in
Santa ^&fw++++=Santa
Maria ^&fw++++=Maria,
, ^zz++++=EXTRAWORD
Rs ^np+++??+=RS,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
specified ^jj+atrb++xvbn+=specified
year ^nn++++=year.
. ^zz++++=EXTRAWORD
To ^to++++=To
identify ^vbi++++=identify
the ^ati++++=the
most ^ql+emph+++=most
widely ^rb++++=widely
used ^vbd+++xvbn+=used
textbook ^nn++++=textbook
in ^in++++=in
Santa ^&fw++++=Santa
Maria ^&fw++++=Maria,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Simad ^np+++??+=SIMAD
website ^nn+++??+=website
was ^vbd+bedz+vrb++=was
accessed ^nn+++??+=accessed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
relevant ^jj+atrb+++=relevant
form ^nn++++=form
was ^vbd+bedz+aux++=was
completed ^vwbn+++xvbn+=completed
using ^vbg+++xvbg+=using
the ^ati++++=the
parameters ^nns++++=parameters
illustrated ^vwbn+++xvbn+=illustrated
in ^in++++=in
image ^nn++++=Image
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
