Cancer ^nn++++=Cancer
patients ^nns++++=patients
experience ^nn++++=experience
a ^at++++=a
range ^nn++++=range
of ^in++++=of
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
including ^in++++=including
pain ^nn++++=pain
that ^tht+rel+subj++=that
encompasses ^vbz++++=encompasses
both ^abx++++=both
neurophysiological ^nn+++??+=neurophysiological
and ^cc++++=and
affective ^nn+++??+=affective
components ^nns++++=components
( ^zz++++=(Wood,
wood ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
population ^nn++++=population,
, ^zz++++=EXTRAWORD
pain ^nn++++=pain
may ^md+pos+++=may
be ^vb+be+aux++=be
intensified ^vpsv++agls+xvbnx+=intensified
and ^cc++++=and
can ^md+pos+++=can
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
deterioration ^nn++++=deterioration
of ^in++++=of
bodily ^jj+atrb+++=bodily
functions ^nns++++=functions,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
psychological ^jj+atrb+++=psychological
responses ^nns++++=responses
such ^abl++++=such
as ^ql++++=as
grief ^nn++++=grief,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
fear ^vb++++=fear,
, ^zz++++=EXTRAWORD
uncertainty ^nn++++=uncertainty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
general ^jj+atrb+++=general
sense ^nn++++=sense
of ^in++++=of
distress ^nn++++=distress
( ^zz++++=(Brant,
brant ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
