Data ^nns++++=Data
on ^in++++=on
satisfaction ^nn++++=satisfaction
and ^cc++++=and
masticatory ^jj+atrb++??+=masticatory
ability ^nn++++=ability
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
using ^vbg+++xvbg+=using
a ^at++++=a
questionnaire ^nn++++=questionnaire
and ^cc++++=and
a ^at++++=a
visual ^jj+atrb+++=visual
analog ^nn+++??+=analog
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
The ^ati++++=The
assessment ^nn++++=assessment
of ^in++++=of
satisfaction ^nn++++=satisfaction
included ^vbd+++xvbn+=included
the ^ati++++=the
following ^jj+atrb++xvbg+=following
parameters ^nns++++=parameters:
: ^zz++++=EXTRAWORD
general ^jj+atrb+++=general
satisfaction ^nn++++=satisfaction,
, ^zz++++=EXTRAWORD
masticatory ^nn+++??+=masticatory
ability ^nn++++=ability,
, ^zz++++=EXTRAWORD
stability ^nn++++=stability,
, ^zz++++=EXTRAWORD
aesthetics ^nn++++=aesthetics,
, ^zz++++=EXTRAWORD
phonetics ^nn++++=phonetics,
, ^zz++++=EXTRAWORD
comfort ^nn++++=comfort,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ease ^nn++++=ease
of ^in++++=of
cleaning ^xvbg+++xvbg+=cleaning.
. ^zz++++=EXTRAWORD
Masticatory ^np+++??+=Masticatory
ability ^nn++++=ability
was ^vbd+bedz+aux++=was
evaluated ^vpsv++agls+xvbnx+=evaluated
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
patient ^nn++++=patient's
's ^$++++=EXTRAWORD
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbd+vpub++xvbn+=EXTRAWORD
ability ^nn++++=ability
to ^to+ncmp+++=to
chew ^vbi++++=chew
specific ^jj+atrb+++=specific
foods ^nns++++=foods,
, ^zz++++=EXTRAWORD
including ^in++++=including
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
cheese ^nn++++=cheese,
, ^zz++++=EXTRAWORD
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
apples ^nns++++=apples,
, ^zz++++=EXTRAWORD
coconut ^nn++++=coconut,
, ^zz++++=EXTRAWORD
carrots ^nns+++??+=carrots,
, ^zz++++=EXTRAWORD
tomatoes ^nns++++=tomatoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lettuce ^nn++++=lettuce.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
semi ^nn+++??+=semi-structured
- ^zz++++=EXTRAWORD
structured ^nn+++??+=EXTRAWORD
interview ^nn++++=interview
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
to ^in++++=to
further ^nn++++=further
assess ^vb++++=assess
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
patient ^nn++++=patient
satisfaction ^nn++++=satisfaction
with ^in++++=with
the ^ati++++=the
dentures ^nns++++=dentures
and ^cc++++=and
to ^to++++=to
identify ^vbi++++=identify
any ^dti++++=any
perceived ^jj+atrb+++=perceived
benefits ^nns++++=benefits
or ^cc++++=or
drawbacks ^nns++++=drawbacks
associated ^vwbn+++xvbn+=associated
with ^in++++=with
their ^pp$+pp3+++=their
use ^nn++++=use.
. ^zz++++=EXTRAWORD
