Health ^nn++++=Health
and ^cc++++=and
disease ^nn++++=disease
conditions ^nns++++=conditions
among ^in++++=among
Indigenous ^jj+atrb+++=Indigenous
populations ^nns++++=populations
in ^in++++=in
Brazil ^np++++=Brazil
remain ^vb++++=remain
insufficiently ^rb++++=insufficiently
documented ^vbd+++xvbn+=documented.
. ^zz++++=EXTRAWORD
Significant ^jj+atrb+++=Significant
gaps ^nns++++=gaps
in ^in++++=in
government ^nn++++=government
databases ^nns+++??+=databases
regarding ^in++++=regarding
morbidity ^nn+++??+=morbidity,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disease ^nn++++=disease
notification ^nn++++=notification
hinder ^vb++++=hinder
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
fundamental ^jj+atrb+++=fundamental
socio ^nn+++??+=socio-demographic
- ^zz++++=EXTRAWORD
demographic ^jj++++=EXTRAWORD
and ^cc++++=and
health ^nn++++=health
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
available ^jj+atrb+++=available
research ^nn++++=research
on ^in++++=on
the ^ati++++=the
public ^jj+atrb+++=public
health ^nn++++=health
of ^in++++=of
Indigenous ^jj+atrb+++=Indigenous
populations ^nns++++=populations
in ^in++++=in
Brazil ^np++++=Brazil
indicates ^vbz+vpub+++=indicates
persistent ^jj+atrb+++=persistent
marginalization ^nn+++??+=marginalization
and ^cc++++=and
vulnerability ^nn+++??+=vulnerability,
, ^zz++++=EXTRAWORD
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
reduced ^jj+atrb++xvbn+=reduced
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
limited ^jj+atrb++xvbn+=limited
access ^nn++++=access
to ^in++++=to
services ^nns++++=services,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poor ^jj+atrb+++=poor
health ^nn++++=health
indicators ^nns++++=indicators
[ ^zz++++=[7].
7 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
