Health ^nn++++=Health
refers ^vbz++++=refers
to ^in++++=to
an ^at++++=an
individual ^nn++++=individual's
's ^vbz+bez+vrb++0=EXTRAWORD
overall ^jjb++++=overall
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
active ^jj+atrb+++=active
maintenance ^nn++++=maintenance
of ^in++++=of
one ^cd1++++=one
s ^zz++++=s
physical ^jj+atrb+++=physical
condition ^nn++++=condition.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
involves ^vbz++++=involves
engaging ^jj+++xvbg+=engaging
in ^in++++=in
behaviors ^nns+++??+=behaviors
that ^tht+rel+obj++=that
support ^nn++++=support
bodily ^jj+atrb+++=bodily
health ^nn++++=health,
, ^zz++++=EXTRAWORD
as ^ql++++=as
maintaining ^jj+atrb++xvbg+=maintaining
good ^jj+atrb+++=good
health ^nn++++=health
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
an ^at++++=an
essential ^jj+atrb+++=essential
aspect ^nn++++=aspect
of ^in++++=of
self ^nn++++=self-care
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
( ^zz++++=(Roberto
roberto ^nn++++=EXTRAWORD
math ^np++++=Math
teacher ^nn++++=teacher).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
