By ^in++++=By
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
and ^cc++++=and
India ^np++++=India
reported ^vbd+vpub++xvbn+=reported
the ^ati++++=the
second ^od++++=second
and ^cc++++=and
third ^od++++=third
highest ^jjt+atrb+++=highest
numbers ^nns++++=numbers
of ^in++++=of
coronavirus ^nns+++??+=coronavirus-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
deaths ^nns++++=deaths
globally ^nn+++??+=globally.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
countries ^nns++++=countries
were ^vbd+bed+aux++=were
governed ^vpsv++by+xvbnx+=governed
by ^in++++=by
right ^jj++++=right-wing
- ^zz++++=EXTRAWORD
wing ^nn++++=EXTRAWORD
authoritarian ^jj+atrb+++=authoritarian
populist ^nn+++??+=populist
leaders ^nns++++=leaders:
: ^zz++++=EXTRAWORD
Jair ^np+++??+=Jair
Bolsonaro ^np+++??+=Bolsonaro,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
became ^vbd+++xvbn+=became
President ^nn++++=President
of ^in++++=of
Brazil ^np++++=Brazil
in ^in++++=in
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Narendra ^np+++??+=Narendra
Modi ^np+++??+=Modi
of ^in++++=of
the ^ati++++=the
Hindu ^nn++++=Hindu
nationalist ^jj+atrb+++=nationalist
Bharatiya ^np+++??+=Bharatiya
Janata ^np+++??+=Janata
Party ^nn++++=Party
( ^zz++++=(BJP),
bjp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
re ^in++++=re-elected
- ^zz++++=EXTRAWORD
elected ^jj+++xvbn+=EXTRAWORD
as ^ql++++=as
Prime ^jjb+atrb+++=Prime
Minister ^nn++++=Minister
of ^in++++=of
India ^np++++=India
in ^in++++=in
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
first ^rb++++=first
major ^jj+atrb+++=major
address ^nn++++=address
regarding ^in++++=regarding
the ^ati++++=the
pandemic ^nn+++??+=pandemic
on ^in++++=on
March ^nr++++=March
24 ^cd++++=24,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
Bolsonaro ^np+++??+=Bolsonaro
claimed ^vbd+vpub++xvbn+=claimed
that ^tht+vcmp+++=that
Brazil ^np++++=Brazil
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
particularly ^rb++++=particularly
susceptible ^jj++++=susceptible
to ^in++++=to
the ^ati++++=the
virus ^nn++++=virus.
. ^zz++++=EXTRAWORD
Concurrently ^np+++??+=Concurrently,
, ^zz++++=EXTRAWORD
Modi ^np+++??+=Modi
criticized ^vwbn+++xvbn+=criticized
the ^ati++++=the
media ^nn++++=media
for ^in++++=for
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
characterized ^nn+++??+=characterized
as ^ql++++=as
excessively ^rb++++=excessively
pessimistic ^jj+atrb+++=pessimistic
coverage ^nn++++=coverage
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
Indian ^jj+atrb+++=Indian
Council ^nn++++=Council
of ^in++++=of
Medical ^jj+atrb+++=Medical
Research ^nn++++=Research
( ^zz++++=(ICMR),
icmr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reportedly ^nn+++??+=reportedly
seeking ^vb+++xvbg+=seeking
to ^to+vcmp+++=to
align ^vb+++??+=align
with ^in++++=with
the ^ati++++=the
Prime ^jjb++++=Prime
Minister ^npt++++=Minister
s ^zz++++=s
expectations ^nns++++=expectations,
, ^zz++++=EXTRAWORD
announced ^nn+++xvbn+=announced
that ^tht+ncmp+++=that
a ^at++++=a
coronavirus ^nns+++??+=coronavirus
vaccine ^nn++++=vaccine
would ^md+prd+++=would
be ^vb+be+vrb++=be
available ^jj+pred+++=available
by ^in++++=by
July ^nr++++=July
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
In ^in++++=In
both ^abx++++=both
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
