However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
comparative ^jj+atrb+++=comparative
literature ^nn++++=literature
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
the ^ati++++=the
case ^nn++++=case
( ^zz++++=(Mu
mu ^nn+++??+=EXTRAWORD
oz ^nnu++++=oz,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Novaes ^np+++??+=Novaes,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
identify ^vbi++++=identify
other ^ap++++=other
types ^nns++++=types
of ^in++++=of
brokers ^nns++++=brokers
who ^whp+rel+subj++=who
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^vb+hv+vrb++=have
affiliations ^nns++++=affiliations
with ^in++++=with
political ^jj+atrb+++=political
parties ^nns++++=parties
( ^zz++++=(Holland
holland ^np++++=EXTRAWORD
and ^cc++++=and
palmer ^np++++=Palmer-Rubin,
- ^zz++++=EXTRAWORD
rubin ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
