To ^in++++=To
advance ^nn++++=advance
the ^ati++++=the
taxonomic ^nn+++??+=taxonomic
study ^nn++++=study
of ^in++++=of
Zingiberales ^np+++??+=Zingiberales
in ^in++++=in
the ^ati++++=the
N ^zz++++=N
cleo ^nn+++??+=cleo
Curucutu ^np+++??+=Curucutu,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
research ^nn++++=research
involved ^vbd+++xvbn+=involved
the ^ati++++=the
collection ^nn++++=collection,
, ^zz++++=EXTRAWORD
identification ^nn++++=identification,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
description ^nn++++=description
of ^in++++=of
species ^nn++++=species,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
preparation ^nn++++=preparation
of ^in++++=of
an ^at++++=an
identification ^nn++++=identification
key ^jjb++++=key,
, ^zz++++=EXTRAWORD
illustrations ^nns++++=illustrations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
compilation ^nn++++=compilation
of ^in++++=of
data ^nns++++=data
on ^in++++=on
the ^ati++++=the
geographic ^nn+++??+=geographic
and ^cc++++=and
phenological ^jj+atrb++??+=phenological
distribution ^nn++++=distribution
of ^in++++=of
the ^ati++++=the
recorded ^jj+atrb++xvbn+=recorded
species ^nns++++=species.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
activities ^nns++++=activities
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
local ^jj+atrb+++=local
flora ^np++++=flora,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
to ^in++++=to
the ^ati++++=the
broader ^jjr+atrb+++=broader
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
flora ^np++++=flora
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
Of ^in++++=of
S ^zz++++=S
O ^zz++++=o
Paulo ^np++++=Paulo
And ^cc++++=and
The ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest.
 ^zz++++=EXTRAWORD
