However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
visibility ^nn++++=visibility
of ^in++++=of
the ^ati++++=the
mandibular ^jj+atrb+++=mandibular
canal ^nn++++=canal
decreases ^vbz++++=decreases
when ^wrb+who+++=when
its ^pp$+it+++=its
borders ^vbz++++=borders
become ^vprf+++xvbn+=become
indistinct ^nn+++??+=indistinct
due ^jj++++=due
to ^in+jcmp+++=to
low ^jj+atrb+++=low
bone ^nn++++=bone
density ^nn++++=density
or ^cc++++=or
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
perpendicular ^jj+atrb+++=perpendicular
alignment ^nn++++=alignment
between ^in++++=between
the ^ati++++=the
canal ^nn++++=canal
and ^cc++++=and
the ^ati++++=the
primary ^jj++++=primary
X ^zz++++=X-ray
- ^zz++++=EXTRAWORD
ray ^np++++=EXTRAWORD
beam ^nn++++=beam
[ ^zz++++=[27].
27 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
technique ^nn++++=technique
is ^vbz+bez+aux++=is
limited ^vpsv++by+xvbnx+=limited
by ^in++++=by
lower ^jjr+atrb+++=lower
resolution ^nn++++=resolution,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
distortion ^nn++++=distortion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
higher ^jjr+atrb+++=higher
risk ^nn++++=risk
of ^in++++=of
producing ^jj+atrb+++=producing
phantom ^nn++++=phantom
images ^nns++++=images
[ ^zz++++=[28].
28 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
