Several ^ap++++=Several
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
political ^jj+atrb+++=political
system ^nn++++=system,
, ^zz++++=EXTRAWORD
including ^in++++=including
its ^pp$+it+++=its
federal ^jj+atrb+++=federal
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
electoral ^jj+atrb+++=electoral
system ^nn++++=system,
, ^zz++++=EXTRAWORD
delineation ^nn++++=delineation
of ^in++++=of
electoral ^jj+atrb+++=electoral
districts ^nns++++=districts,
, ^zz++++=EXTRAWORD
separate ^vb++++=separate
timing ^nn++++=timing
of ^in++++=of
elections ^nns++++=elections,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
centralization ^nn++++=centralization
of ^in++++=of
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
promote ^vb++++=promote
cooperation ^nn++++=cooperation
among ^in++++=among
political ^jj+atrb+++=political
actors ^nns++++=actors
at ^in++++=at
the ^ati++++=the
local ^jj++++=local,
, ^zz++++=EXTRAWORD
state ^nn++++=state,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
national ^jj+atrb+++=national
levels ^nns++++=levels
during ^in++++=during
both ^abx++++=both
electoral ^jj++++=electoral
and ^cc++++=and
non ^&fw++++=non-electoral
- ^zz++++=EXTRAWORD
electoral ^jj+atrb+++=EXTRAWORD
periods ^nns++++=periods
( ^zz++++=(Carneiro
carneiro ^nn+++??+=EXTRAWORD
and ^cc++++=and
Almeida ^np+++??+=Almeida,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Existing ^jj+atrb++xvbg+=Existing
research ^nn++++=research
in ^in++++=in
electoral ^jj+atrb+++=electoral
and ^cc+phrs+++=and
legislative ^jj+atrb+++=legislative
studies ^nns++++=studies
provides ^vbz+vsua+++=provides
evidence ^nn++++=evidence
that ^tht+rel+obj++=that
the ^ati++++=the
relationships ^nns++++=relationships
between ^in++++=between
local ^jj+atrb+++=local
leaders ^nns++++=leaders
and ^cc++++=and
elected ^vwbn+++xvbn+=elected
representatives ^npt++++=representatives
constitute ^vb++++=constitute
a ^at++++=a
fundamental ^jj+atrb+++=fundamental
aspect ^nn++++=aspect
of ^in++++=of
brazilian ^jj+atrb+++=Brazilian
politics ^nn++++=politics.
. ^zz++++=EXTRAWORD
