These ^dt+dem+++=These
data ^nns++++=data
are ^vb+ber+vrb++=are
significant ^jj+pred+++=significant
as ^ql++++=as
they ^pp3a+pp3+++=they
document ^nn++++=document
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
sand ^nn++++=sand
flies ^vbz++++=flies
collected ^vbd+++xvbn+=collected
from ^in++++=from
various ^jj+atrb+++=various
sites ^nns++++=sites
within ^in++++=within
two ^cd++++=two
indigenous ^jj+atrb+++=indigenous
territories ^nns++++=territories
in ^in++++=in
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Amazon ^np+++??+=Amazon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dataset ^nn+++??+=dataset
is ^vbz+bez+vrb++=is
relevant ^jj+pred+++=relevant
to ^in++++=to
multiple ^jj+atrb+++=multiple
stakeholders ^nns+++??+=stakeholders,
, ^zz++++=EXTRAWORD
including ^in++++=including
academia ^nn+++??+=academia,
, ^zz++++=EXTRAWORD
government ^nn++++=government
agencies ^nns++++=agencies,
, ^zz++++=EXTRAWORD
civil ^jj+atrb+++=civil
society ^nn++++=society,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
non ^&fw++++=non-governmental
- ^zz++++=EXTRAWORD
governmental ^jj+atrb+++=EXTRAWORD
organizations ^nns++++=organizations.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
have ^vb+hv+vrb++=have
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
facilitate ^vbi++++=facilitate
the ^ati++++=the
integration ^nn++++=integration
of ^in++++=of
scientific ^jj+atrb+++=scientific
and ^cc+phrs+++=and
indigenous ^jj+atrb+++=indigenous
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
supporting ^vbg+++xvbg+=supporting
the ^ati++++=the
development ^nn++++=development
and ^cc++++=and
adaptation ^nn++++=adaptation
of ^in++++=of
health ^nn++++=health
surveillance ^nn++++=surveillance
activities ^nns++++=activities
to ^in++++=to
diverse ^jj+atrb+++=diverse
eco ^nn+++??+=eco-social
- ^zz++++=EXTRAWORD
social ^jj+atrb+++=EXTRAWORD
contexts ^nns++++=contexts
with ^in++++=with
the ^ati++++=the
active ^jj+atrb+++=active
involvement ^nn++++=involvement
of ^in++++=of
indigenous ^jj+atrb+++=indigenous
communities ^nns++++=communities,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
possess ^vb++++=possess
detailed ^jj+atrb+++=detailed
knowledge ^nn++++=knowledge
of ^in++++=of
their ^pp$+pp3+++=their
territories ^nns++++=territories.
. ^zz++++=EXTRAWORD
