Labur ^np+++??+=Labur
, ^zz++++=,
Silva ^np+++??+=Silva,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Z ^zz++++=Z
mpero ^nn+++??+=mpero
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
investigated ^vbd+++xvbn+=investigated
high ^jj+atrb+++=high
school ^nn++++=school
students ^nns++++=students
understanding ^vwbg+++xvbg+=understanding
of ^in++++=of
electrostatics ^nns+++??+=electrostatics
concepts ^nns++++=concepts
through ^in++++=through
experimental ^jj+atrb+++=experimental
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
assessing ^xvbg+++xvbg+=assessing
their ^pp$+pp3+++=their
grasp ^nn++++=grasp
of ^in++++=of
scientific ^jj+atrb+++=scientific
concepts ^nns++++=concepts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evaluation ^nn++++=evaluation
of ^in++++=of
students ^nns++++=students
during ^in++++=during
these ^dt+dem+++=these
activities ^nns++++=activities
revealed ^vbd+vprv++xvbn+=revealed
that ^tht+vcmp+++=that
certain ^jj+atrb+++=certain
concepts ^nns++++=concepts
are ^vb+ber+vrb++=are
not ^xnot++not++=not
directly ^rb++++=directly
observable ^jj++++=observable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
students ^nns++++=students
incomplete ^jj+atrb+++=incomplete
or ^cc+phrs+++=or
incorrect ^jj+atrb+++=incorrect
understanding ^jj+atrb++xvbg+=understanding
may ^md+pos+++=may
indicate ^vb+vprv+++=indicate
conceptual ^jj+atrb+++=conceptual
unintelligibility ^nn+++??+=unintelligibility.
. ^zz++++=EXTRAWORD
The ^ati++++=The
researchers ^nns+++??+=researchers
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
students ^nns++++=students
difficulties ^nns++++=difficulties
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
these ^dt+dem+++=these
specific ^jj+atrb+++=specific
elements ^nns++++=elements
rather ^rb++++=rather
than ^in++++=than
to ^in++++=to
the ^ati++++=the
broader ^jjr+atrb+++=broader
conceptual ^jj+atrb+++=conceptual
framework ^nn++++=framework
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
gestures ^nns++++=gestures
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
valuable ^jj+atrb+++=valuable
tool ^nn++++=tool
for ^in++++=for
teachers ^vb++++=teachers
to ^to+vcmp+++=to
assess ^vbi++++=assess
students ^nns++++=students
comprehension ^nn++++=comprehension
of ^in++++=of
scientific ^jj+atrb+++=scientific
knowledge ^nn++++=knowledge
and ^cc++++=and
play ^nn++++=play
a ^at++++=a
fundamental ^jj+atrb+++=fundamental
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
students ^nns++++=students
conceptual ^jj+atrb+++=conceptual
understanding ^nn++++=understanding.
. ^zz++++=EXTRAWORD
