There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
clear ^jj+atrb+++=clear
connection ^nn++++=connection,
, ^zz++++=EXTRAWORD
as ^ql++++=as
physical ^jj+atrb+++=physical
education ^nn++++=education
involves ^vbz++++=involves
engaging ^jj+++xvbg+=engaging
in ^in++++=in
movement ^nn++++=movement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regular ^jj+atrb+++=regular
physical ^jj+atrb+++=physical
activity ^nn++++=activity
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
maintaining ^xvbg+++xvbg+=maintaining
good ^jj+atrb+++=good
health ^nn++++=health.
. ^zz++++=EXTRAWORD
The ^ati++++=The
human ^jj+atrb+++=human
body ^nn++++=body
requires ^vbz++++=requires
movement ^nn++++=movement
rather ^rb++++=rather
than ^in++++=than
prolonged ^vbd+++xvbn+=prolonged
inactivity ^nn++++=inactivity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
physical ^jj+atrb+++=physical
education ^nn++++=education
plays ^nns++++=plays
a ^at++++=a
role ^nn++++=role
in ^in++++=in
encouraging ^jj+atrb+++=encouraging
and ^cc+phrs+++=and
guiding ^jj+atrb++xvbg+=guiding
individuals ^nns++++=individuals
toward ^in++++=toward
achieving ^vbg+++xvbg+=achieving
this ^dt+dem+++=this
objective ^jj++++=objective
( ^zz++++=(Roberto
roberto ^nn++++=EXTRAWORD
mathematics ^nn++++=Mathematics
teacher ^nn++++=teacher).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
