Health ^nn++++=Health
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
conditions ^nns++++=conditions
such ^abl++++=such
as ^ql++++=as
high ^np++++=high
blood ^nn++++=blood
pressure ^nn++++=pressure
and ^cc++++=and
obesity ^nn++++=obesity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
not ^xnot++not++=not
requiring ^jj+atrb++xvbg+=requiring
medication ^nn++++=medication.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
case ^nn++++=case,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
take ^vb++++=take
medications ^nns+++??+=medications
for ^in++++=for
hypertension ^nn+++??+=hypertension,
, ^zz++++=EXTRAWORD
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cardiac ^jj+atrb+++=cardiac
arrhythmia ^nn+++??+=arrhythmia;
; ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
view ^nn++++=view,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
healthy ^jj++++=healthy
would ^md+prd+++=would
mean ^vb+vprv+++=mean
not ^xnot++not++=not
needing ^jj+++xvbg+=needing
any ^dti++++=any
of ^in++++=of
these ^dt+dem+++=these
treatments ^nns++++=treatments
( ^zz++++=(Bruna
bruna ^nn++++=EXTRAWORD
geography ^nn++++=Geography
teacher ^nn++++=teacher).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
