Health ^nn++++=Health
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
adequate ^jj+atrb+++=adequate
nutrition ^nn++++=nutrition.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
referring ^vbg+++xvbg+=referring
specifically ^rb++++=specifically
to ^in++++=to
the ^ati++++=the
physical ^jj+atrb+++=physical
aspect ^nn++++=aspect,
, ^zz++++=EXTRAWORD
health ^nn++++=health
involves ^vbz++++=involves
maintaining ^jj+atrb++xvbg+=maintaining
physical ^jj+atrb+++=physical
balance ^nn++++=balance.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
health ^nn++++=health
can ^md+pos+++=can
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood
as ^ql++++=as
recognizing ^jj+atrb++xvbg+=recognizing
personal ^jj+atrb+++=personal
limits ^nns++++=limits
and ^cc++++=and
adhering ^vbg+++xvbg+=adhering
to ^to++++=to
established ^vbi+vprv+++=established
guidelines ^nns++++=guidelines
and ^cc++++=and
boundaries ^nns++++=boundaries
( ^zz++++=(Sofia
sofia ^nn++++=EXTRAWORD
manager ^nn++++=manager).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
