Hlma3 ^np+++??+=HLMA3
highlights ^nns++++=highlights
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
s ^zz++++=s
competitive ^jj+atrb+++=competitive
advantage ^nn++++=advantage
in ^in++++=in
the ^ati++++=the
2 ^zz++++=2-IN-1
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
product ^nn++++=product
category ^nn++++=category
by ^in++++=by
emphasizing ^xvbg+++xvbg+=emphasizing
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
both ^abx++++=both
toothpaste ^nn++++=toothpaste
and ^cc++++=and
a ^at++++=a
toothbrush ^nn+++??+=toothbrush
within ^in++++=within
a ^at++++=a
single ^jj++++=single
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
package ^nn++++=package.
. ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
3 ^zz++++=3
presents ^nns++++=presents
evidence ^nn++++=evidence
of ^in++++=of
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
s ^zz++++=s
ability ^nn++++=ability
to ^to+ncmp+++=to
maintain ^vbi+vpub+++=maintain
long ^jj++++=long-lasting
- ^zz++++=EXTRAWORD
lasting ^jj+atrb++xvbg+=EXTRAWORD
fresh ^jj+atrb+++=fresh
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
by ^in++++=by
the ^ati++++=the
sustained ^jj+atrb++xvbn+=sustained
freshness ^nn++++=freshness
experienced ^vwbn+++xvbn+=experienced
by ^in++++=by
a ^at++++=a
female ^jj+atrb+++=female
user ^nn++++=user
from ^in++++=from
7:00 ^cd++++=7:00
at ^in++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
through ^in++++=through
13:00 ^cd++++=13:00
at ^in++++=at
the ^ati++++=the
office ^nn++++=office,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
continuing ^vbg+++xvbg+=continuing
until ^cs+sub+++=until
19:00 ^cd++++=19:00
upon ^in++++=upon
returning ^jj+atrb+++=returning
home ^nr++++=home
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
