Health ^nn++++=Health
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
happiness ^nn++++=happiness
and ^cc++++=and
well ^rb++++=well-being,
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+aux++=is
often ^rb++splt++=often
perceived ^vpsv++agls+xvbnx+=perceived
as ^ql++++=as
feeling ^jj+++xvbg+=feeling
comfortable ^jj++++=comfortable
in ^in++++=in
one ^cd1++++=one
s ^zz++++=s
own ^ap++++=own
body ^nn++++=body.
. ^zz++++=EXTRAWORD
An ^at++++=An
ideal ^jj+atrb+++=ideal
state ^nn++++=state
of ^in++++=of
health ^nn++++=health
is ^vbz+bez+vrb++=is
rarely ^rb++++=rarely
attainable ^jj+pred+++=attainable,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
among ^in++++=among
adolescents ^nns++++=adolescents,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
bodies ^nns++++=bodies
are ^vb+ber+aux++=are
still ^rb++splt++=still
developing ^vbg+++xvbgx+=developing
and ^cc++++=and
may ^md+pos+++=may
fluctuate ^vb+++??+=fluctuate
between ^in++++=between
being ^xvbg+++xvbg+=being
overweight ^nn++++=overweight
or ^cc++++=or
underweight ^jj++++=underweight.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
student ^nn++++=student
who ^whp+rel+subj++=who
expressed ^vbd+vpub++xvbn+=expressed
interest ^nn++++=interest
in ^in++++=in
using ^xvbg+++xvbg+=using
anabolic ^nn+++??+=anabolic
steroids ^nns+++??+=steroids
to ^to++++=to
achieve ^vbi++++=achieve
certain ^jj+atrb+++=certain
physical ^jj+atrb+++=physical
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
Adolescents ^nns++++=Adolescents
are ^vb+ber+aux++=are
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
various ^jj+atrb+++=various
media ^nns++++=media
influences ^nns++++=influences
and ^cc++++=and
often ^rb++++=often
pursue ^vb++++=pursue
an ^at++++=an
unattainable ^jj+atrb+++=unattainable
ideal ^nn++++=ideal
of ^in++++=of
physical ^jj+atrb+++=physical
perfection ^nn++++=perfection.
. ^zz++++=EXTRAWORD
Ultimately ^rb+cnj+++=Ultimately,
, ^zz++++=EXTRAWORD
health ^nn++++=health
can ^md+pos+++=can
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood
as ^ql++++=as
an ^at++++=an
individual ^jj+atrb+++=individual
balance ^nn++++=balance
unique ^jj++++=unique
to ^in++++=to
each ^dt++++=each
person ^nn++++=person
( ^zz++++=(Larissa
larissa ^nn++++=EXTRAWORD
science ^nn++++=Science
teacher ^nn++++=teacher).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
