Table ^nn++++=Table
4 ^zz++++=4
indicates ^vbz+vpub+tht0++=indicates
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
data ^nns++++=data
collection ^nn++++=collection
period ^nn++++=period,
, ^zz++++=EXTRAWORD
participants ^nns++++=participants
reported ^vbd+vpub++xvbn+=reported
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
twenty ^cd++++=twenty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
distinct ^jj+atrb+++=distinct
medications ^nns+++??+=medications.
. ^zz++++=EXTRAWORD
Anxiolytic ^np+++??+=Anxiolytic
benzodiazepines ^nns+++??+=benzodiazepines
( ^zz++++=(specifically
specifically ^rb++++=EXTRAWORD
Diazepam ^np+++??+=Diazepam
and ^cc++++=and
Clonazepam ^np+++??+=Clonazepam)
) ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
used ^vbd+++xvbn+=used,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
selective ^jj+atrb+++=selective
serotonin ^nn+++??+=serotonin
reuptake ^nn+++??+=reuptake
inhibitor ^nn++++=inhibitor
( ^zz++++=(SSRI)
ssri ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
antidepressants ^nns+++??+=antidepressants
( ^zz++++=(Escitalopram,
escitalopram ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Citalopram ^np+++??+=Citalopram,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Fluoxetine ^np+++??+=Fluoxetine),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tricyclic ^nn+++??+=tricyclic
antidepressants ^nns+++??+=antidepressants
( ^zz++++=(Amitriptyline).
amitriptyline ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
identify ^vb++++=identify
the ^ati++++=the
medications ^nns++++=medications
most ^ql+emph+++=most
commonly ^rb++++=commonly
utilized ^vpsv++by+xvbn+=utilized
by ^in++++=by
the ^ati++++=the
survey ^nn++++=survey
participants ^nns++++=participants.
. ^zz++++=EXTRAWORD
