By ^in++++=By
April ^nr++++=April
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
20,700 ^cd++++=20,700
cases ^nns++++=cases
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
country ^nn++++=country
s ^zz++++=s
death ^nn++++=death
toll ^nn++++=toll
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
1,124 ^cd++++=1,124.
. ^zz++++=EXTRAWORD
Following ^jj+atrb++xvbg+=Following
widespread ^jj+atrb+++=widespread
media ^nn++++=media
coverage ^nn++++=coverage
depicting ^xvbg+++xvbg+=depicting
overwhelmed ^xvbn+++xvbn+=overwhelmed
hospitals ^nns++++=hospitals
and ^cc++++=and
mass ^nn++++=mass
graves ^nns++++=graves,
, ^zz++++=EXTRAWORD
President ^npt++++=President
Bolsonaro ^np+++??+=Bolsonaro
stated ^vbd+vpub++xvbn+=stated
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
responsible ^jj++++=responsible
for ^in++++=for
worsening ^nn+++??+=worsening
the ^ati++++=the
crisis ^nn++++=crisis,
, ^zz++++=EXTRAWORD
asserting ^vbg+vpub++xvbg+=asserting
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
gravedigger ^nn+++??+=gravedigger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
also ^rb++++=also
promoted ^vbd+++xvbn+=promoted
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
hydroxychloroquine ^nn+++??+=hydroxychloroquine
and ^cc++++=and
chloroquine ^nn+++??+=chloroquine
( ^zz++++=(hereafter
hereafter ^rb++++=EXTRAWORD
Hcq ^np+++??+=HCQ)
) ^zz++++=EXTRAWORD
as ^ql++++=as
treatments ^nns++++=treatments
for ^in++++=for
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Bolsonaro ^np+++??+=Bolsonaro
s ^zz++++=s
advocacy ^nn++++=advocacy
for ^in++++=for
these ^dt+dem+++=these
drugs ^nns++++=drugs
was ^vbd+bedz+aux++=was
primarily ^rb+down+splt++=primarily
politically ^rb++++=politically
motivated ^vbd+++xvbn+=motivated
and ^cc+phrs+++=and
reflected ^vbd+vprv++xvbn+=reflected
his ^pp$+pp3+++=his
alignment ^nn++++=alignment
with ^in++++=with
the ^ati++++=the
policies ^nns++++=policies
of ^in++++=of
then ^rn+tm+++=then-U.S.
- ^zz++++=EXTRAWORD
u.s ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
President ^npt++++=President
Donald ^np++++=Donald
Trump ^np+++??+=Trump.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
than ^in++++=than
initiating ^jj++++=initiating
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
public ^jj+atrb+++=public
health ^nn++++=health
campaign ^nn++++=campaign,
, ^zz++++=EXTRAWORD
the ^ati++++=the
promotion ^nn++++=promotion
of ^in++++=of
Hcq ^np+++??+=HCQ
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
support ^vb++++=support
a ^at++++=a
political ^jj+atrb+++=political
narrative ^nn++++=narrative.
. ^zz++++=EXTRAWORD
Bolsonaro ^np+++??+=Bolsonaro
claimed ^vbd+vpub++xvbn+=claimed
that ^tht+vcmp+++=that
Hcq ^np+++??+=HCQ
rendered ^vbd+++xvbn+=rendered
social ^jj+atrb+++=social
restrictions ^nns++++=restrictions
unnecessary ^jj++++=unnecessary
and ^cc++++=and
would ^md+prd+++=would
ultimately ^rb++++=ultimately
result ^nn++++=result
in ^in++++=in
herd ^nn++++=herd
immunity ^nn++++=immunity
for ^in++++=for
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Brazilian ^jj+atrb+++=Brazilian
scientists ^nns++++=scientists
who ^whp+rel+subj++=who
questioned ^vbd+vpub++xvbn+=questioned
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
Hcq ^np+++??+=HCQ
faced ^vwbn+++xvbn+=faced
defamatory ^nn+++??+=defamatory
attacks ^nns++++=attacks
on ^in++++=on
social ^jj+atrb+++=social
media ^nns++++=media,
, ^zz++++=EXTRAWORD
legal ^jj+atrb+++=legal
investigations ^nns++++=investigations
by ^in++++=by
authorities ^nns++++=authorities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
death ^nn++++=death
threats ^nns++++=threats.
. ^zz++++=EXTRAWORD
Bolsonaro ^np+++??+=Bolsonaro
s ^zz++++=s
endorsement ^nn+++??+=endorsement
of ^in++++=of
Hcq ^np+++??+=HCQ
contributed ^vbd+++xvbn+=contributed
to ^to++++=to
securing ^vbg+++xvbg+=securing
the ^ati++++=the
support ^nn++++=support
of ^in++++=of
the ^ati++++=the
business ^nn++++=business
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
opposed ^in+++xvbn+=opposed
a ^at++++=a
nationwide ^jj+atrb+++=nationwide
lockdown ^nn+++??+=lockdown,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^in++++=as
right ^jj++++=right-wing
- ^zz++++=EXTRAWORD
wing ^nn++++=EXTRAWORD
evangelical ^jj+atrb+++=evangelical
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
constitute ^vb++++=constitute
approximately ^rb+down+++=approximately
one ^cd1++++=one-fourth
- ^zz++++=EXTRAWORD
fourth ^od++++=EXTRAWORD
of ^in++++=of
Brazil ^np++++=Brazil
s ^zz++++=s
population ^nn++++=population
and ^cc++++=and
sought ^vbd+++xvbn+=sought
to ^to++++=to
continue ^vbi++++=continue
religious ^jj+atrb+++=religious
services ^nns++++=services
without ^in++++=without
restrictions ^nns++++=restrictions.
. ^zz++++=EXTRAWORD
