Since ^in++++=Since
2000 ^cd++++=2000,
, ^zz++++=EXTRAWORD
additional ^jj+atrb+++=additional
laws ^nns++++=laws
and ^cc++++=and
decrees ^nns++++=decrees
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
enacted ^vpsv++agls+xvbnx+=enacted
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
notably ^rb++++=notably
the ^ati++++=the
National ^jj+atrb+++=National
Guidelines ^np+++??+=Guidelines
for ^in++++=for
Special ^jj+atrb+++=Special
Education ^nn++++=Education
in ^in++++=in
Basic ^jj+atrb+++=Basic
Education ^nn++++=Education
( ^zz++++=(Diretrizes
diretrizes ^nns+++??+=EXTRAWORD
Nacionais ^np+++??+=Nacionais
para ^nn++++=para
Educa ^np+++??+=Educa
o ^zz++++=o
Especial ^jj++++=Especial
na ^xnot++not++=na
Educa ^np+++??+=Educa
o ^zz++++=o
B ^zz++++=B
sica ^nn+++??+=sica)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
National ^jj+atrb+++=National
Special ^jj+atrb+++=Special
Education ^nn++++=Education
Policy ^nn++++=Policy
from ^in++++=from
the ^ati++++=the
Perspective ^nn++++=Perspective
of ^in++++=of
Inclusive ^jj+atrb+++=Inclusive
Education ^nn++++=Education
( ^zz++++=(Pol
pol ^nn+++??+=EXTRAWORD
tica ^nn+++??+=tica
Nacional ^np+++??+=Nacional
de ^&fw++++=de
Educa ^np+++??+=Educa
o ^zz++++=o
Especial ^jj+atrb+++=Especial
da ^np++++=da
Perspectiva ^np+++??+=Perspectiva
da ^np++++=da
Educa ^np+++??+=Educa
o ^zz++++=o
Inclusiva ^np+++??+=Inclusiva).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
National ^jj+atrb+++=National
Special ^jj+atrb+++=Special
Education ^nn++++=Education
Policy ^nn++++=Policy
ensures ^vbz+vprv+++=ensures
the ^ati++++=the
right ^nn++++=right
of ^in++++=of
students ^nns++++=students
with ^in++++=with
disabilities ^nns+++??+=disabilities
to ^in++++=to
access ^nn++++=access
public ^nn++++=public
education ^nn++++=education,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
National ^jj+atrb+++=National
Guidelines ^np+++??+=Guidelines
for ^in++++=for
Special ^jj+atrb+++=Special
Education ^nn++++=Education
in ^in++++=in
Basic ^jj+atrb+++=Basic
Education ^nn++++=Education
are ^vb+ber+aux++=are
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
operationalize ^vb+++??+=operationalize
this ^dt+dem+++=this
democratization ^nn+++??+=democratization
by ^in++++=by
promoting ^xvbg+++xvbg+=promoting
accessibility ^nn++++=accessibility
and ^cc++++=and
inclusion ^nn++++=inclusion
for ^in++++=for
all ^abn++++=all
students ^nns++++=students
( ^zz++++=(Alves,
alves ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
