Another ^dt++++=Another
activity ^nn++++=activity
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
implemented ^vpsv++agls+xvbnx+=implemented
as ^ql++++=as
a ^at++++=a
group ^nn++++=group
task ^nn++++=task
is ^vbz+bez+vrb++=is
Activity ^nn++++=Activity
E ^zz++++=E,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
focuses ^vbz++++=focuses
on ^in++++=on
the ^ati++++=the
months ^nns++++=months
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
image ^nn++++=Image
5 ^zz++++=5).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
