During ^in++++=During
typical ^jj+atrb+++=typical
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
individuals ^nns++++=individuals
elaborate ^jj++++=elaborate
on ^in++++=on
their ^pp$+pp3+++=their
thinking ^nvbg+++xvbg+=thinking
or ^cc++++=or
attempt ^nn++++=attempt
to ^to+ncmp+++=to
explain ^vbi+vpub+++=explain
a ^at++++=a
concept ^nn++++=concept
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
scientific ^jj+atrb+++=scientific
model ^nn++++=model
to ^in++++=to
a ^at++++=a
teacher ^nn++++=teacher
or ^cc++++=or
peer ^nn++++=peer,
, ^zz++++=EXTRAWORD
gestures ^nns++++=gestures
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
employed ^vpsv++agls+xvbnx+=employed
to ^in++++=to
aid ^nn++++=aid
communication ^nn++++=communication.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
gestures ^nns++++=gestures
are ^vb+ber+vrb++=are
significant ^jj+pred+++=significant
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
can ^md+pos+++=can
reveal ^vb+vprv+++=reveal
students ^nns++++=students
mental ^jj+atrb+++=mental
representations ^nns++++=representations
and ^cc++++=and
may ^md+pos+++=may
help ^vb++++=help
identify ^vb++++=identify
gaps ^nns++++=gaps
in ^in++++=in
their ^pp$+pp3+++=their
verbal ^jj+atrb+++=verbal
explanations ^nns++++=explanations.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
literature ^nn++++=literature
review ^nn++++=review
concludes ^vbz+vprv+++=concludes
by ^in++++=by
emphasizing ^xvbg+++xvbg+=emphasizing
the ^ati++++=the
important ^jj+atrb+++=important
role ^nn++++=role
that ^tht+rel+obj++=that
gestures ^nns++++=gestures
can ^md+pos+++=can
play ^vb++++=play
in ^in++++=in
the ^ati++++=the
teaching ^jj+atrb++xvbg+=teaching
and ^cc+phrs+++=and
learning ^jj+atrb++xvbg+=learning
process ^nn++++=process,
, ^zz++++=EXTRAWORD
offering ^vbg+++xvbg+=offering
new ^jj+atrb+++=new
perspectives ^nns++++=perspectives
and ^cc++++=and
approaches ^nns++++=approaches
for ^in++++=for
education ^nn++++=education,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
additional ^jj+atrb+++=additional
resources ^nns++++=resources
that ^tht+rel+obj++=that
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
students ^nns++++=students
academic ^jj+atrb+++=academic
development ^nn++++=development.
. ^zz++++=EXTRAWORD
