Although ^cs+con+++=Although
interviewees ^nns++++=interviewees
identified ^vwbn+++xvbn+=identified
a ^at++++=a
diverse ^jj+atrb+++=diverse
range ^nn++++=range
of ^in++++=of
sources ^nns++++=sources
for ^in++++=for
requests ^nns++++=requests,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that
those ^dt+dem+++=those
requests ^nns++++=requests
receive ^vb++++=receive
greater ^jjr+atrb+++=greater
attention ^nn++++=attention
from ^in++++=from
the ^ati++++=the
office ^nn++++=office
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
conveyed ^vpsv++agls+xvbnx+=conveyed
through ^in++++=through
a ^at++++=a
local ^jj+atrb+++=local
broker ^nn++++=broker.
. ^zz++++=EXTRAWORD
With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
requests ^nns++++=requests
from ^in++++=from
individuals ^nns++++=individuals,
, ^zz++++=EXTRAWORD
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
civil ^jj+atrb+++=civil
organizations ^nns++++=organizations
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
mediated ^nn++++=mediated
by ^in++++=by
councilors ^nns++++=councilors,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
interviewee ^vb++++=interviewee
stated ^vpsv++agls+xvbn+=stated:
: ^zz++++=EXTRAWORD
