After ^cs+sub+++=After
selecting ^xvbg+++xvbg+=selecting
the ^ati++++=the
69 ^cd++++=69
articles ^nns++++=articles
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
established ^jj+atrb++xvbn+=established
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
initially ^rb+tm+++=initially
categorized ^nn+++??+=categorized
them ^pp3o+pp3+++=them
according ^in++++=according
to ^to++++=to
teaching ^vbi+vsua+++=teaching
levels ^nns++++=levels
to ^to++++=to
identify ^vbi++++=identify
the ^ati++++=the
stages ^nns++++=stages
of ^in++++=of
the ^ati++++=the
academic ^jj+atrb+++=academic
trajectory ^nn+++??+=trajectory
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
concentration ^nn++++=concentration
of ^in++++=of
research ^nn++++=research
on ^in++++=on
gestures ^nns++++=gestures
in ^in++++=in
teaching ^xvbg+++xvbg+=teaching
and ^cc++++=and
learning ^xvbg+++xvbg+=learning
processes ^nns++++=processes.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
organized ^vbd+++xvbn+=organized
the ^ati++++=the
articles ^nns++++=articles
chronologically ^rb++++=chronologically
by ^in++++=by
publication ^nn++++=publication
date ^nn++++=date
to ^to++++=to
assess ^vbi++++=assess
trends ^nns++++=trends
in ^in++++=in
the ^ati++++=the
volume ^nn++++=volume
of ^in++++=of
research ^nn++++=research
on ^in++++=on
gestures ^nns++++=gestures
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
indicating ^vbg+vprv++xvbg+=indicating
potential ^jj+atrb+++=potential
changes ^nns++++=changes
in ^in++++=in
research ^nn++++=research
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
final ^jj+atrb+++=final
categorization ^nn+++??+=categorization
of ^in++++=of
the ^ati++++=the
articles ^nns++++=articles
identified ^vwbn+++xvbn+=identified
in ^in++++=in
phase ^nn++++=phase
1 ^zz++++=1
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
through ^in++++=through
a ^at++++=a
content ^jj+atrb+++=content
analysis ^nn++++=analysis
of ^in++++=of
each ^dt++++=each
article ^nn++++=article,
, ^zz++++=EXTRAWORD
with ^in++++=with
categories ^nns++++=categories
emerging ^vbg+++xvbg+=emerging
inductively ^nn++++=inductively
from ^in++++=from
the ^ati++++=the
reading ^nn++++=reading
process ^nn++++=process.
. ^zz++++=EXTRAWORD
