As ^in++++=As
a ^at++++=a
preliminary ^jj+atrb+++=preliminary
step ^nn++++=step,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sample ^nn++++=sample
size ^nn++++=size
of ^in++++=of
1,844 ^cd++++=1,844
observations ^nns++++=observations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Salomon ^np+++??+=SALOMON
splitting ^vwbg+++xvbg+=splitting
method ^nn++++=method
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied
using ^vbg+++xvbg+=using
the ^ati++++=the
Factor ^nn++++=FACTOR
software ^nn+++??+=software
( ^zz++++=(Lorenzo-Seva,
lorenzo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
seva ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ratio ^nn++++=Ratio
Communality ^np+++??+=Communality
Index ^nn++++=Index
( ^zz++++=(RCI)
rci ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
obtained ^vbd+++xvbn+=obtained
was ^vbd+bedz+vrb++=was
0.998452 ^nn+++??+=0.998452,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
both ^abx++++=both
subsamples ^nns+++??+=subsamples
possess ^vb++++=possess
a ^at++++=a
similar ^jj+atrb+++=similar
amount ^nn++++=amount
of ^in++++=of
common ^jj+atrb+++=common
variance ^nn++++=variance;
; ^zz++++=EXTRAWORD
values ^nns++++=values
closer ^rbr++++=closer
to ^to++++=to
1 ^zz++++=1
suggest ^vb+vpub+++=suggest
greater ^jjr+atrb+++=greater
comparability ^nn++++=comparability
between ^in++++=between
subsamples ^nns+++??+=subsamples
( ^zz++++=(Lorenzo-Seva,
lorenzo ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
seva ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
exhibited ^vbd+++xvbn+=exhibited
significant ^jj+atrb+++=significant
kurtosis ^nns+++??+=kurtosis
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.05 ^nn+++??+=0.05),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
deviation ^nn++++=deviation
from ^in++++=from
normality ^nn++++=normality.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Diagonally ^rb++++=Diagonally
Weighted ^vbd+++xvbn+=Weighted
Least ^ql++++=Least
Squares ^nns++++=Squares
( ^zz++++=(RDWLS)
rdwls ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
extraction ^nn++++=extraction
method ^nn++++=method
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
appropriate ^jj+pred+++=appropriate
for ^in++++=for
categorical ^jj+atrb+++=categorical
data ^nns++++=data
that ^tht+rel+subj++=that
do ^vb+do+aux++=do
not ^xnot++not++=not
follow ^vb+vprv+++=follow
a ^at++++=a
normal ^jj+atrb+++=normal
distribution ^nn++++=distribution
( ^zz++++=(Asparouhov
asparouhov ^nn++++=EXTRAWORD
& ^zz++++=&
muth ^np++++=Muth
n ^zz++++=n,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
