If ^cs+cnd+++=If
local ^jj+atrb+++=local
brokers ^nns++++=brokers,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
mayors ^npts++++=mayors,
, ^zz++++=EXTRAWORD
significantly ^rb++++=significantly
contribute ^vb++++=contribute
to ^in++++=to
a ^at++++=a
legislator ^nn++++=legislator
s ^zz++++=s
electoral ^jj+atrb+++=electoral
success ^nn++++=success,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
reasonable ^jj+pred+++=reasonable
to ^to+jcmp+++=to
expect ^vbi+vprv+++=expect
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
also ^rb++++=also
be ^vb+be+aux++=be
held ^vpsv++agls+xvbnx+=held
at ^rb++++=at
least ^rbt++++=least
partially ^rb+down+++=partially
accountable ^jj++++=accountable
for ^in++++=for
electoral ^jj+atrb+++=electoral
defeats ^nns++++=defeats.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
individuals ^nns++++=individuals
interviewed ^vwbn+++xvbn+=interviewed
for ^in++++=for
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
two ^cd++++=two
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
for ^in++++=for
representatives ^nns++++=representatives
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
reelected ^nn+++??+=reelected.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
asked ^vbd+vsua++xvbn+=asked
about ^in++++=about
the ^ati++++=the
causes ^nns++++=causes
of ^in++++=of
these ^dt+dem+++=these
electoral ^jj+atrb+++=electoral
losses ^nns++++=losses,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
interviewees ^nns++++=interviewees,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
expressing ^vbg+++xvbg+=expressing
dissatisfaction ^nn++++=dissatisfaction
with ^in++++=with
the ^ati++++=the
mayors ^npts++++=mayors
effectiveness ^nn++++=effectiveness
as ^in++++=as
electoral ^jj+atrb+++=electoral
brokers ^nns++++=brokers,
, ^zz++++=EXTRAWORD
attributed ^xvbn+++xvbn+=attributed
greater ^jjr+atrb+++=greater
importance ^nn++++=importance
to ^in++++=to
other ^ap++++=other
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
highlighted ^vbd+++xvbnx+=highlighted
the ^ati++++=the
office ^nn++++=office
s ^zz++++=s
challenges ^vbz++++=challenges
in ^in++++=in
independently ^rb++++=independently
reaching ^jj+atrb++xvbg+=reaching
voters ^nns++++=voters
through ^in++++=through
new ^jj+atrb+++=new
technologies ^nns+++??+=technologies,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
social ^jj+atrb+++=social
media ^nns++++=media.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
a ^at++++=a
recognition ^nn++++=recognition
of ^in++++=of
the ^ati++++=the
increasing ^jj+atrb++xvbg+=increasing
necessity ^nn++++=necessity
for ^in++++=for
representatives ^nns++++=representatives
to ^to++++=to
establish ^vbi+vprv+++=establish
direct ^jj+atrb+++=direct
communication ^nn++++=communication
with ^in++++=with
constituents ^nns++++=constituents
and ^cc++++=and
to ^to++++=to
reduce ^vbi++++=reduce
reliance ^nn++++=reliance
on ^in++++=on
intermediaries ^nns++++=intermediaries
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
receive ^vbi++++=receive
acknowledgment ^nn++++=acknowledgment
for ^in++++=for
their ^pp$+pp3+++=their
actions ^nns++++=actions.
. ^zz++++=EXTRAWORD
