The ^ati++++=The
question ^nn++++=question
of ^in++++=of
what ^wdt+who+++=what
constitutes ^vbz++++=constitutes
a ^at++++=a
" ^zz++++="mode"
mode ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remains ^nns++++=remains
pertinent ^jj++++=pertinent.
. ^zz++++=EXTRAWORD
According ^in++++=According
to ^to++++=to
van ^&fw++++=van
Leeuwen ^np+++??+=Leeuwen
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
mode ^nn++++=mode
is ^vbz+bez+vrb++=is
an ^at++++=an
interactional ^nn+++??+=interactional
resource ^nn++++=resource
whose ^whp+rel+obj++=whose
meaning ^nvbg+++xvbg+=meaning
potential ^jj++++=potential
is ^vbz+bez+aux++=is
shaped ^vpsv++by+xvbnx+=shaped
by ^in++++=by
historical ^jj+atrb+++=historical
developments ^nns++++=developments,
, ^zz++++=EXTRAWORD
current ^jj+atrb+++=current
cultural ^jj+atrb+++=cultural
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anticipated ^vbn+vprv++xvbn+=anticipated
future ^jjb+atrb+++=future
norms ^nns++++=norms.
. ^zz++++=EXTRAWORD
Jewitt ^np+++??+=Jewitt
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
further ^jjb++++=further
defines ^vbz++++=defines
a ^at++++=a
mode ^nn++++=mode
as ^in++++=as
a ^at++++=a
semiotic ^nn+++??+=semiotic
resource ^nn++++=resource
for ^in++++=for
meaning ^xvbg+++xvbg+=meaning-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
inherently ^rb++splt++=inherently
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
cultural ^jj+atrb+++=cultural
context ^nn++++=context,
, ^zz++++=EXTRAWORD
identifying ^jj+atrb++xvbg+=identifying
examples ^nns++++=examples
such ^abl++++=such
as ^ql++++=as
images ^nns++++=images,
, ^zz++++=EXTRAWORD
writing ^vbg+++xvbg+=writing,
, ^zz++++=EXTRAWORD
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
postures ^nns++++=postures.
. ^zz++++=EXTRAWORD
Kress ^np+++??+=Kress
( ^zz++++=(2010)
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
distinguishes ^vbz++++=distinguishes
between ^in++++=between
informal ^jj+atrb+++=informal
and ^cc+phrs+++=and
formal ^jj+atrb+++=formal
perspectives ^nns++++=perspectives
on ^in++++=on
modes ^nns++++=modes,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
informal ^jj+atrb+++=informal
perspective ^nn++++=perspective
emphasizing ^vwbg+++xvbg+=emphasizing
the ^ati++++=the
social ^jj+atrb+++=social
dimension ^nn++++=dimension,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
a ^at++++=a
community ^nn++++=community
collectively ^nn+++??+=collectively
determines ^vbz++++=determines
the ^ati++++=the
designation ^nn++++=designation
and ^cc++++=and
relevance ^nn++++=relevance
of ^in++++=of
a ^at++++=a
mode ^nn++++=mode.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
view ^nn++++=view,
, ^zz++++=EXTRAWORD
the ^ati++++=the
effectiveness ^nn++++=effectiveness
and ^cc++++=and
significance ^nn++++=significance
of ^in++++=of
a ^at++++=a
mode ^nn++++=mode
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
specific ^jj+atrb+++=specific
social ^jj+atrb+++=social
group ^nn++++=group,
, ^zz++++=EXTRAWORD
rendering ^nn++++=rendering
modes ^nns++++=modes
contextually ^nn++++=contextually
and ^cc++++=and
geographically ^rb++++=geographically
situated ^vpsv++agls+xvbn+=situated.
. ^zz++++=EXTRAWORD
