According ^in+cmpx+++=According
to ^in++++=to
Nara ^np+++??+=Nara,
, ^zz++++=EXTRAWORD
a ^at++++=a
Portuguese ^jj+atrb+++=Portuguese
language ^nn++++=language
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
engaging ^vbg+++xvbg+=engaging
young ^jj+atrb+++=young
people ^nns++++=people
in ^in++++=in
sports ^nns++++=sports
is ^vbz+bez+vrb++=is
highly ^rb+amp+++=highly
important ^jj+pred+++=important,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
serves ^vbz++++=serves
as ^in++++=as
an ^at++++=an
effective ^jj+atrb+++=effective
means ^nn++++=means
of ^in++++=of
fostering ^nn+++??+=fostering
their ^pp$+pp3+++=their
interest ^nn++++=interest
and ^cc++++=and
participation ^nn++++=participation,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
considers ^vbz+vprv+++=considers
to ^to+vcmp+++=to
be ^vbi++vrb++=be
significant ^jj+pred+++=significant
and ^cc++++=and
well ^rb++++=well-received
- ^zz++++=EXTRAWORD
received ^vbd+++xvbn+=EXTRAWORD
by ^in++++=by
the ^ati++++=the
students ^nns++++=students.
. ^zz++++=EXTRAWORD
