A ^at++++=A
second ^od++++=second
important ^jj+atrb+++=important
consideration ^nn++++=consideration
is ^vbz+bez+vrb++=is
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
enhance ^vb++++=enhance
the ^ati++++=the
understanding ^jj+++xvbg+=understanding
of ^in++++=of
brokerage ^nn+++??+=brokerage
dynamics ^nn++++=dynamics
by ^in++++=by
distinguishing ^nn++++=distinguishing
between ^in++++=between
the ^ati++++=the
electoral ^jj+atrb+++=electoral
campaign ^nn++++=campaign
period ^nn++++=period
and ^cc++++=and
the ^ati++++=the
period ^nn++++=period
following ^vwbg+++xvbg+=following
elections ^nns++++=elections.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
distinction ^nn++++=distinction
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
largely ^rb++splt++=largely
neglected ^vpsv++agls+xvbn+=neglected
in ^in++++=in
the ^ati++++=the
existing ^jj+atrb++xvbg+=existing
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
frequently ^rb++++=frequently
bases ^vbz++++=bases
its ^pp$+it+++=its
theoretical ^jj+atrb+++=theoretical
propositions ^nns++++=propositions
about ^in++++=about
brokers ^nns++++=brokers
on ^in++++=on
observations ^nns++++=observations
derived ^vbd+++xvbn+=derived
primarily ^rb+down+++=primarily
from ^in++++=from
campaign ^nn++++=campaign-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
potentially ^rb++++=potentially
overemphasizing ^vb+++??+=overemphasizing
the ^ati++++=the
electoral ^jj+atrb+++=electoral
aspects ^nns++++=aspects
of ^in++++=of
brokerage ^nn+++??+=brokerage.
. ^zz++++=EXTRAWORD
In ^in++++=In
our ^pp$+pp1+++=our
study ^nn++++=study,
, ^zz++++=EXTRAWORD
interviewees ^nns++++=interviewees
commonly ^rb++++=commonly
minimized ^vb+++??+=minimized
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
the ^ati++++=the
election ^nn++++=election
period ^nn++++=period
when ^wrb+who+++=when
attributing ^vbg+++xvbg+=attributing
credit ^nn++++=credit
for ^in++++=for
their ^pp$+pp3+++=their
actions ^nns++++=actions,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
brokerage ^nn+++??+=brokerage
is ^vbz+bez+aux++=is
perceived ^vpsv++agls+xvbnx+=perceived
as ^ql++++=as
a ^at++++=a
continuous ^jj+atrb+++=continuous
and ^cc+phrs+++=and
sustained ^jj+atrb++xvbn+=sustained
activity ^nn++++=activity
rather ^rb++++=rather
than ^in++++=than
one ^cd1++++=one
confined ^vbd+++xvbn+=confined
to ^in++++=to
electoral ^jj+atrb+++=electoral
cycles ^nns++++=cycles.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
some ^dti++++=some
studies ^nns++++=studies
have ^vb+hv+aux++=have
acknowledged ^vprf+++xvbnx+=acknowledged
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
brokers ^nns++++=brokers
beyond ^in++++=beyond
elections ^nns++++=elections
and ^cc++++=and
their ^pp$+pp3+++=their
involvement ^nn++++=involvement
in ^in++++=in
outcomes ^nns+++??+=outcomes
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
public ^jj+atrb+++=public
works ^nns++++=works
and ^cc++++=and
social ^jj+atrb+++=social
policies ^nns++++=policies
( ^zz++++=(Auyero,
auyero ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Zarazaga ^np+++??+=Zarazaga,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Hoyler ^np+++??+=Hoyler,
, ^zz++++=EXTRAWORD
Gelape ^np+++??+=Gelape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Silotto ^np+++??+=Silotto,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
further ^jjb+atrb+++=further
research ^nn++++=research
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
clarify ^vbi++++=clarify
the ^ati++++=the
distinctions ^nns++++=distinctions
and ^cc++++=and
interconnections ^nns+++??+=interconnections
between ^in++++=between
brokerage ^nn++++=brokerage
activities ^nns++++=activities
during ^in++++=during
and ^cc++++=and
outside ^in+cmpx+++=outside
of ^in"++++=of
electoral ^jj+atrb+++=electoral
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
