These ^dt+dem+++=These
considerations ^nns++++=considerations
provide ^vb+vsua+++=provide
the ^ati++++=the
essential ^jj+atrb+++=essential
framework ^nn++++=framework
for ^in++++=for
interpreting ^xvbg+++xvbg+=interpreting
the ^ati++++=the
central ^jj+atrb+++=central
focus ^nn++++=focus
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
conducted ^vbd+++xvbn+=conducted:
: ^zz++++=EXTRAWORD
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
scientific ^jj+atrb+++=scientific
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
is ^vbz+bez+aux++=is
directed ^vpsv++agls+xvbnx+=directed
not ^xnot++not++=not
only ^rb+down+++=only
toward ^in++++=toward
the ^ati++++=the
transmission ^nn++++=transmission
of ^in++++=of
concepts ^nns++++=concepts,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
toward ^in++++=toward
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
