Groups ^nns++++=Groups
A ^at++++=A
and ^cc++++=and
B ^zz++++=B
differ ^vb++++=differ
from ^in++++=from
Group ^nn++++=Group
C ^zz++++=C
and ^cc++++=and
are ^vb+ber+aux++=are
notably ^rb++splt++=notably
more ^rbr++++=more
engaged ^vbd+++xvbn+=engaged
in ^in++++=in
activities ^nns++++=activities
classified ^vwbn+++xvbn+=classified
within ^in++++=within
the ^ati++++=the
scientific ^jj+atrb+++=scientific
categories ^nns++++=categories
of ^in++++=of
experimentation ^nn++++=experimentation
and ^cc++++=and
problem ^nn++++=problem
identification ^nn++++=identification.
. ^zz++++=EXTRAWORD
