Kane ^np+++??+=Kane
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
evaluated ^xvbn+++xvbn+=evaluated
the ^ati++++=the
bucco ^nn+++??+=bucco-lingual
- ^zz++++=EXTRAWORD
lingual ^nn+++??+=EXTRAWORD
position ^nn++++=position
of ^in++++=of
the ^ati++++=the
mandibular ^jj+atrb+++=mandibular
canal ^nn++++=canal
( ^zz++++=(MC)
mc ^nnu++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
20 ^cd++++=20
patients ^nns++++=patients
using ^xvbg+++xvbg+=using
computed ^vbd+++xvbn+=computed
tomography ^nn+++??+=tomography
( ^zz++++=(CT)
ct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
inferior ^jj+atrb+++=inferior
alveolar ^nn+++??+=alveolar
nerve ^nn++++=nerve
( ^zz++++=(IAN)
ian ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
its ^pp$+it+++=its
accompanying ^jj+atrb++xvbg+=accompanying
vessels ^nns++++=vessels
are ^vb+ber+aux++=are
located ^vpsv++agls+xvbnx+=located
approximately ^rb+down+++=approximately
4.7 ^cd++++=4.7
mm ^nnu++++=mm
from ^in++++=from
the ^ati++++=the
buccal ^nn+++??+=buccal
aspect ^nn++++=aspect
and ^cc++++=and
1.8 ^cd++++=1.8
mm ^nnu++++=mm
from ^in++++=from
the ^ati++++=the
lingual ^nn+++??+=lingual
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
mandible ^nn+++??+=mandible
at ^rb++++=at
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
the ^ati++++=the
mandibular ^jj++++=mandibular
first ^od++++=first
molar ^nn++++=molar
[ ^zz++++=[9].
9 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
