Studies ^nns++++=Studies
on ^in++++=on
distributive ^jj+atrb+++=distributive
politics ^nn++++=politics
in ^in++++=in
Brazil ^np++++=Brazil
indicate ^vb+vprv+tht0++=indicate
that ^tht+vcmp+++=that:
: ^zz++++=EXTRAWORD
( ^zz++++=(i)
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
voters ^nns++++=voters
consider ^vb+vprv+++=consider
local ^jj+atrb+++=local
concerns ^nns++++=concerns
in ^in++++=in
their ^pp$+pp3+++=their
voting ^nvbg+++xvbg+=voting
decisions ^nns++++=decisions,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
increases ^vbz++++=increases
the ^ati++++=the
likelihood ^nn++++=likelihood
of ^in++++=of
electing ^nn++++=electing
legislators ^vbz+++??+=legislators
known ^vbd+vprv++xvbn+=known
for ^in++++=for
securing ^xvbg+++xvbg+=securing
resources ^nns++++=resources
for ^in++++=for
their ^pp$+pp3+++=their
municipalities ^nns+++??+=municipalities;
; ^zz++++=EXTRAWORD
( ^zz++++=(ii)
ii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
a ^at++++=a
substantial ^jj+atrb+++=substantial
proportion ^nn++++=proportion
of ^in++++=of
legislators ^nns+++??+=legislators
actively ^rb++++=actively
seek ^vb++++=seek
to ^in+vcmp+++=to
allocate ^jj+atrb++??+=allocate
resources ^nns++++=resources
and ^cc++++=and
deliver ^vb++++=deliver
services ^nns++++=services
to ^in++++=to
municipalities ^nns+++??+=municipalities;
; ^zz++++=EXTRAWORD
( ^zz++++=(iii)
iii ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
local ^jj+atrb+++=local
leaders ^nns++++=leaders,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
mayors ^npts++++=mayors,
, ^zz++++=EXTRAWORD
play ^nn++++=play
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
mobilizing ^nn+++??+=mobilizing
electoral ^jj+atrb+++=electoral
support ^nn++++=support
for ^in++++=for
legislators ^nns+++??+=legislators;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(iv)
iv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
allocation ^nn++++=allocation
of ^in++++=of
resources ^nns++++=resources
to ^in++++=to
municipalities ^nns+++??+=municipalities
yields ^nns++++=yields
electoral ^jj+atrb+++=electoral
benefits ^nns++++=benefits
for ^in++++=for
both ^abx++++=both
legislators ^nns++++=legislators
and ^cc++++=and
mayors ^npts++++=mayors.
. ^zz++++=EXTRAWORD
