Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
a ^at++++=a
gesture ^nn++++=gesture
not ^xnot++not++=not
only ^rb+down+++=only
reflects ^vbz++++=reflects
cognitive ^jj+atrb++??+=cognitive
processes ^nns++++=processes
but ^cc++++=but
may ^md+pos+++=may
also ^rb++++=also
influence ^nn++++=influence
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Empirical ^jj+atrb+++=Empirical
evidence ^nn++++=evidence
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
gestures ^nns++++=gestures
can ^md+pos+++=can
convey ^vb++++=convey
substantive ^jj+atrb+++=substantive
information ^nn++++=information,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
the ^ati++++=the
possibility ^nn++++=possibility
that ^tht+ncmp+++=that
individuals ^nns++++=individuals
can ^md+pos+++=can
learn ^vb+vprv+++=learn
by ^in++++=by
observing ^xvbg+++xvbg+=observing
the ^ati++++=the
gestures ^nns++++=gestures
produced ^vwbn+++xvbn+=produced
by ^in++++=by
others ^aps++++=others.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
to ^to++++=to
establish ^vbi+vprv+++=establish
a ^at++++=a
causal ^jj+atrb+++=causal
relationship ^nn++++=relationship,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
experimentally ^rb++splt++=experimentally
manipulate ^vbi++++=manipulate
gesture ^nn++++=gesture
and ^cc++++=and
examine ^vb++++=examine
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
such ^abl++++=such
manipulation ^nn++++=manipulation
on ^in++++=on
learning ^vbg+vprv++xvbg+=learning
outcomes ^nns++++=outcomes
( ^zz++++=(Goldin-Meadow,
goldin ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
meadow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
