Regarding ^in++++=Regarding
the ^ati++++=the
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
in ^in++++=in
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
the ^ati++++=the
daily ^jj+atrb+++=daily
wage ^nn++++=wage
in ^in++++=in
the ^ati++++=the
Central ^jj+atrb+++=Central
Sierra ^np++++=Sierra
region ^nn++++=region
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
sucre ^nn+++??+=sucre,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
established ^jj+atrb++xvbn+=established
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
for ^in++++=for
the ^ati++++=the
broader ^jjr++++=broader
Sierra ^np++++=Sierra
region ^nn++++=region
was ^vbd+bedz+vrb++=was
25 ^cd++++=25
sucres ^nns+++??+=sucres
and ^cc++++=and
for ^in++++=for
the ^ati++++=the
Coast ^nn++++=Coast
region ^nn++++=region
was ^vbd+bedz+vrb++=was
50 ^cd++++=50
sucres ^nns+++??+=sucres.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
these ^dt+dem+++=these
figures ^nns++++=figures
are ^vb+ber+vrb++=are
not ^xnot++not++=not
representative ^nn++++=representative
of ^in++++=of
all ^abn++++=all
regions ^nns++++=regions
within ^in++++=within
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
provide ^vb+vsua+++=provide
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
but ^cc+phrs+++=but
informative ^jj+atrb+++=informative
perspective ^nn++++=perspective
on ^in++++=on
the ^ati++++=the
employment ^nn++++=employment
conditions ^nns++++=conditions
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
in ^in++++=in
question ^nn++++=question.
. ^zz++++=EXTRAWORD
