According ^in+cmpx+++=According
to ^in++++=to
Fabiana ^np+++??+=Fabiana,
, ^zz++++=EXTRAWORD
a ^at++++=a
Physical ^jj+atrb+++=Physical
Education ^nn++++=Education
( ^zz++++=(PE)
pe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
teachers ^vb++++=teachers
to ^to+vcmp+++=to
convey ^vbi++++=convey
to ^in++++=to
students ^nns++++=students
an ^at++++=an
understanding ^jj+++xvbg+=understanding
of ^in++++=of
movement ^nn++++=movement
and ^cc++++=and
its ^pp$+it+++=its
significance ^nn++++=significance.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
teacher ^nn++++=teacher
s ^zz++++=s
guidance ^nn++++=guidance
on ^in++++=on
what ^wdt+who+++=what
it ^pp3+it+++=it
means ^vbz+vprv+++=means
to ^to++++=to
move ^vbi++++=move,
, ^zz++++=EXTRAWORD
students ^nns++++=students
can ^md+pos+++=can
comprehend ^vb+++??+=comprehend
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
Pe ^np+++??+=PE
in ^in++++=in
promoting ^xvbg+++xvbg+=promoting
health ^nn++++=health.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
objective ^nn++++=objective
of ^in++++=of
Pe ^np+++??+=PE
is ^vbz+bez+aux++=is
to ^to++++=to
help ^vbi++++=help
students ^nns++++=students
understand ^vb+vprv+++=understand
body ^nn++++=body
movement ^nn++++=movement
and ^cc++++=and
recognize ^vb+vprv+++=recognize
the ^ati++++=the
benefits ^nns++++=benefits
it ^pp3+it+++=it
can ^md+pos+++=can
provide ^vb+vsua+++=provide
throughout ^rb++++=throughout
their ^pp$+pp3+++=their
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
Pe ^np+++??+=PE
also ^rb++++=also
aims ^vb++++=aims
to ^to+vcmp+++=to
increase ^vbi++++=increase
students ^nns++++=students
awareness ^nn++++=awareness
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
bodies ^nns++++=bodies,
, ^zz++++=EXTRAWORD
emphasizing ^vbg+++xvbg+=emphasizing
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
bodily ^jj+atrb+++=bodily
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
