Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
a ^at++++=a
social ^jj+atrb+++=social
actor ^nn++++=actor
( ^zz++++=(referred
referred ^vbd+++xvbn+=EXTRAWORD
to ^in++++=to
as ^ql++++=as
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
a ^at++++=a
deep ^jj+atrb+++=deep
blue ^jj+atrb+++=blue
tie ^nn++++=tie
and ^cc++++=and
a ^at++++=a
light ^jj++++=light
blue ^jj++++=blue
long ^jj++++=long-sleeve
- ^zz++++=EXTRAWORD
sleeve ^nn++++=EXTRAWORD
shirt ^nn++++=shirt,
, ^zz++++=EXTRAWORD
makes ^vbz++++=makes
the ^ati++++=the
following ^jj+atrb++xvbg+=following
statement ^nn++++=statement
in ^in++++=in
a ^at++++=a
restroom ^nn+++??+=restroom
setting ^vwbg+++xvbg+=setting:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
clean ^vb++++=clean
your ^pp$+pp2+++=your
teeth ^nns++++=teeth
every ^at++++=every
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
declarative ^nn+++??+=declarative
clause ^nn++++=clause,
, ^zz++++=EXTRAWORD
presented ^xvbn+++xvbn+=presented
in ^in++++=in
example ^nn++++=example
1a ^cd++++=1a,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
pronounced ^vpsv++agls+xvbnx+=pronounced
assertively ^nn+++??+=assertively
and ^cc++++=and
acknowledges ^vbz++++=acknowledges
the ^ati++++=the
common ^jj+atrb+++=common
practice ^nn++++=practice
of ^in++++=of
daily ^jj+atrb+++=daily
tooth ^nn++++=tooth
brushing ^vwbg+++xvbg+=brushing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
pronoun ^nn++++=pronoun
" ^zz++++="you"
you ^pp2+pp2+++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
clause ^nn++++=clause
is ^vbz+bez+vrb++=is
generic ^jj+pred+++=generic,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
addresses ^nns++++=addresses
all ^abn++++=all
viewers ^nns++++=viewers
of ^in++++=of
the ^ati++++=the
advertisement ^nn++++=advertisement,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
positioning ^nn++++=positioning
the ^ati++++=the
audience ^nn++++=audience
as ^in++++=as
the ^ati++++=the
intended ^jj+atrb++xvbn+=intended
recipients ^nns++++=recipients
of ^in++++=of
the ^ati++++=the
message ^nn++++=message.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
target ^nn++++=target
audience ^nn++++=audience
for ^in++++=for
the ^ati++++=the
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
advertisement ^nn++++=advertisement
is ^vbz+bez+aux++=is
broadly ^rb+down+splt++=broadly
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
anyone ^pn++++=anyone
who ^whp+who+++=who
uses ^vbz++++=uses
toothpaste ^nn++++=toothpaste.
. ^zz++++=EXTRAWORD
The ^ati++++=The
adjunct ^nn++++=adjunct
" ^zz++++="every
every ^at++++=EXTRAWORD
morning ^nn++++=morning"
" ^zz++++=EXTRAWORD
specifies ^vbz+vsua+++=specifies
that ^tht+vcmp+++=that
