Carlos ^np++++=Carlos,
, ^zz++++=EXTRAWORD
a ^at++++=a
physical ^jj+atrb+++=physical
education ^nn++++=education
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
defined ^xvbn+++xvbn+=defined
health ^nn++++=health
as ^ql++++=as
encompassing ^vb+++??+=encompassing
prevention ^nn++++=prevention,
, ^zz++++=EXTRAWORD
nutrition ^nn++++=nutrition,
, ^zz++++=EXTRAWORD
physical ^jj+atrb+++=physical
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
adoption ^nn++++=adoption
of ^in++++=of
good ^jj+atrb+++=good
habits ^nns++++=habits.
. ^zz++++=EXTRAWORD
