Although ^cs+con+++=Although
the ^ati++++=the
methodology ^nn++++=methodology
employed ^vbd+++xvbn+=employed
in ^in++++=in
this ^dt+dem+++=this
article ^nn++++=article
aligns ^nns+++??+=aligns
with ^in++++=with
approaches ^nns++++=approaches
commonly ^rb++++=commonly
found ^vbd+vprv++xvbn+=found
in ^in++++=in
Social ^jj+atrb+++=Social
History ^nn++++=History
and ^cc++++=and
Economic ^jj+atrb+++=Economic
History ^nn++++=History,
, ^zz++++=EXTRAWORD
the ^ati++++=the
research ^nn++++=research
is ^vbz+bez+aux++=is
conducted ^vpsv++agls+xvbnx+=conducted
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
principles ^nns++++=principles
of ^in++++=of
historical ^jj+atrb+++=historical
objectivity ^nn++++=objectivity,
, ^zz++++=EXTRAWORD
acknowledging ^vbg+++xvbg+=acknowledging
the ^ati++++=the
inherent ^jj+atrb+++=inherent
limitations ^nns++++=limitations
of ^in++++=of
such ^abl++++=such
an ^at++++=an
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
perspective ^nn++++=perspective
is ^vbz+bez+vrb++=is
consistent ^jj+pred+++=consistent
with ^in++++=with
the ^ati++++=the
school ^nn++++=school
of ^in++++=of
thought ^nn++++=thought
associated ^vbd+++xvbn+=associated
with ^in++++=with
Leopold ^np++++=Leopold
von ^&fw++++=von
Ranke ^np+++??+=Ranke,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
emphasized ^vbd+vpub++xvbn+=emphasized
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
presenting ^xvbg+++xvbg+=presenting
historical ^jj+atrb+++=historical
facts ^nns++++=facts
as ^ql++++=as
they ^pp3a+pp3+++=they
occurred ^vbd+++xvbnx+=occurred,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
using ^xvbg+++xvbg+=using
history ^nn++++=history
to ^to++++=to
judge ^vbi++++=judge
the ^ati++++=the
past ^jjb++++=past
or ^cc++++=or
instruct ^vb++++=instruct
future ^jjb+atrb+++=future
generations ^nns++++=generations
( ^zz++++=(Iggers
iggers ^nns+++??+=EXTRAWORD
2011:86 ^cd++++=2011:86).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
article ^nn++++=article
is ^vbz+bez+vrb++=is
structured ^nn+++??+=structured
to ^in++++=to
first ^od++++=first
examine ^vb++++=examine
the ^ati++++=the
economic ^jj+atrb+++=economic
context ^nn++++=context,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
legal ^jj+atrb+++=legal
system ^nn++++=system,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
a ^at++++=a
discussion ^nn++++=discussion
of ^in++++=of
issues ^nn++++=issues
related ^vpsv++agls+xvbn+=related
to ^to++++=to
the ^ati++++=the
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage.
. ^zz++++=EXTRAWORD
