Topical ^jj+atrb+++=Topical
opioids ^nns+++??+=opioids
represent ^vb++++=represent
an ^at++++=an
additional ^jj+atrb+++=additional
therapeutic ^jj+atrb+++=therapeutic
option ^nn++++=option.
. ^zz++++=EXTRAWORD
Opioid ^np+++??+=Opioid
receptors ^nns+++??+=receptors
are ^vb+ber+aux++=are
located ^vpsv++agls+xvbnx+=located
in ^in++++=in
the ^ati++++=the
peripheral ^jj+atrb+++=peripheral
nervous ^jj+atrb+++=nervous
system ^nn++++=system,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
synthesized ^nn+++??+=synthesized
in ^in++++=in
the ^ati++++=the
dorsal ^jj+atrb+++=dorsal
root ^nn++++=root
ganglia ^nns++++=ganglia
and ^cc++++=and
transported ^vprf+++xvbn+=transported
axonally ^nn+++??+=axonally
to ^in++++=to
peripheral ^jj+atrb+++=peripheral
terminals ^nns++++=terminals;
; ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
receptors ^vbz+++??+=receptors
become ^vprf+++xvbn+=become
detectable ^jj+atrb+++=detectable
following ^jj+atrb++xvbg+=following
peripheral ^jj+atrb+++=peripheral
injury ^nn++++=injury
and ^cc++++=and
inflammation ^nn+++??+=inflammation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
presence ^nn++++=presence
of ^in++++=of
an ^at++++=an
inflammatory ^jj+atrb+++=inflammatory
process ^nn++++=process
in ^in++++=in
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wound ^vbd+++xvbn+=wound
( ^zz++++=(MFW)
mfw ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
beds ^nns++++=beds
may ^md+pos+++=may
account ^vb++++=account
for ^in++++=for
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
analgesic ^jj+atrb+++=analgesic
effects ^nns++++=effects
of ^in++++=of
topical ^jj+atrb+++=topical
opioids ^nns+++??+=opioids
( ^zz++++=(Vardhan
vardhan ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
research ^nn++++=research
should ^md+nec+++=should
investigate ^vb++++=investigate
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
more ^rbr++++=more
potent ^jj+atrb+++=potent
opioids ^nns+++??+=opioids,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
fentanyl ^vb+++??+=fentanyl,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context
( ^zz++++=(Wang
wang ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
