Flowering ^nn++++=Flowering
and ^cc++++=and
fruiting ^nn+++??+=fruiting
data ^nns++++=data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
through ^in++++=through
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
herbarium ^&fw++++=herbarium
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
field ^nn++++=field
observations ^nns++++=observations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
review ^nn++++=review
of ^in++++=of
relevant ^jj+atrb+++=relevant
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
Morphological ^jj+atrb+++=Morphological
terminology ^nn++++=terminology
was ^vbd+bedz+aux++=was
adopted ^vpsv++agls+xvbnx+=adopted
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
the ^ati++++=the
definitions ^nns++++=definitions
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
Gon ^np+++??+=Gon
alves ^nns+++??+=alves
and ^cc++++=and
Lorenzi ^np+++??+=Lorenzi
( ^zz++++=(2011).
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Illustrations ^nns++++=Illustrations
were ^vbd+bed+aux++=were
produced ^vpsv++by+xvbnx+=produced
by ^in++++=by
hand ^nn++++=hand
with ^in++++=with
the ^ati++++=the
assistance ^nn++++=assistance
of ^in++++=of
a ^at++++=a
stereomicroscope ^nn+++??+=stereomicroscope
and ^cc++++=and
finalized ^nn++++=finalized
by ^in++++=by
the ^ati++++=the
illustrator ^nn++++=illustrator
klei ^np++++=Klei
rodrigo ^np++++=Rodrigo
de ^&fw++++=de
sousa ^np++++=Sousa.
. ^zz++++=EXTRAWORD
