During ^in++++=During
the ^ati++++=the
1990s ^cd+date+++=1990s,
, ^zz++++=EXTRAWORD
several ^ap++++=several
significant ^jj+atrb+++=significant
international ^jj+atrb+++=international
developments ^nns++++=developments
advanced ^vbd+++xvbn+=advanced
the ^ati++++=the
rights ^nns++++=rights
of ^in++++=of
individuals ^nns++++=individuals
with ^in++++=with
disabilities ^nns+++??+=disabilities.
. ^zz++++=EXTRAWORD
The ^ati++++=The
World ^nn++++=World
Declaration ^nn++++=Declaration
on ^in++++=on
Education ^nn++++=Education
for ^in++++=for
All ^abn++++=All
affirmed ^vb+++xvbn+=affirmed
that ^tht+vcmp+++=that
every ^at++++=every
individual ^nn++++=individual
is ^vbz+bez+aux++=is
entitled ^vpsv++agls+xvbnx+=entitled
to ^in++++=to
education ^nn++++=education
and ^cc++++=and
should ^md+nec+++=should
have ^vb+hv+vrb++=have
access ^nn++++=access
to ^in++++=to
fundamental ^jj+atrb+++=fundamental
learning ^jj+atrb++xvbg+=learning
conditions ^nns++++=conditions
( ^zz++++=(UNESCO,
unesco ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
1994 ^cd+date+++=1994,
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^jj+atrb+++=United
Nations ^nns++++=Nations
introduced ^vwbn+++xvbn+=introduced
the ^ati++++=the
Salamanca ^np+++??+=Salamanca
Statement ^nn++++=Statement,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
emphasized ^vbd+vpub++xvbn+=emphasized
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
social ^jj+atrb+++=social
and ^cc+phrs+++=and
educational ^jj+atrb+++=educational
inclusion ^nn++++=inclusion
by ^in++++=by
asserting ^nn+vpub++xvbg+=asserting
that ^tht+ncmp+++=that
individuals ^nns++++=individuals
with ^in++++=with
special ^jj+atrb+++=special
needs ^nns++++=needs
are ^vb+ber+aux++=are
entitled ^vpsv++agls+xvbnx+=entitled
to ^in++++=to
equal ^jj+atrb+++=equal
educational ^jj+atrb+++=educational
opportunities ^nns++++=opportunities,
, ^zz++++=EXTRAWORD
irrespective ^in++++=irrespective
of ^in++++=of
any ^dti++++=any
disabilities ^nns++++=disabilities
( ^zz++++=(Figueiredo
figueiredo ^nn++++=EXTRAWORD
& ^zz++++=&
kato ^np++++=Kato,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
