Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
textbook ^nn++++=textbook
introduces ^vbz++++=introduces
its ^pp$+it+++=its
eight ^cd++++=eight
units ^nns++++=units,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
cover ^vb++++=cover
the ^ati++++=the
primary ^jj++++=primary
content ^jj++++=content
intended ^jj+++xvbn+=intended
for ^in++++=for
sixth ^od++++=sixth
grade ^nn++++=grade
students ^nns++++=students
throughout ^in++++=throughout
the ^ati++++=the
academic ^jj+atrb+++=academic
year ^nn++++=year.
. ^zz++++=EXTRAWORD
The ^ati++++=The
titles ^nns++++=titles,
, ^zz++++=EXTRAWORD
content ^nn++++=content
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
discourse ^nn++++=discourse
genres ^vbz+++??+=genres
addressed ^vbd+++xvbn+=addressed
in ^in++++=in
each ^dt++++=each
unit ^nn++++=unit
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
Chart ^nn++++=Chart
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
developed ^vpsv++agls+xvbnx+=developed
using ^vbg+++xvbg+=using
information ^nn++++=information
provided ^vbd+vsua++xvbn+=provided
in ^in++++=in
the ^ati++++=the
introductory ^jj+atrb+++=introductory
sections ^nns++++=sections
of ^in++++=of
each ^dt++++=each
unit ^nn++++=unit
in ^in++++=in
the ^ati++++=the
textbook ^nn++++=textbook.
. ^zz++++=EXTRAWORD
