One ^cd1++++=One
randomized ^nn+++??+=randomized
clinical ^jj+atrb+++=clinical
trial ^nn++++=trial
( ^zz++++=(Lund-Nielsen
lund ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
nielsen ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
cited ^nn++++=cited
in ^in++++=in
a ^at++++=a
systematic ^jj+atrb+++=systematic
review ^nn++++=review
by ^in++++=by
Adderley ^np+++??+=Adderley
and ^cc++++=and
Holt ^np++++=Holt
( ^zz++++=(2014),
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reported ^j+++xvbn+=reported
favorable ^&fw++++=favorable
outcomes ^vbz+++??+=outcomes
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
antimicrobials ^nns+++??+=antimicrobials
for ^in++++=for
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wound ^vbd+++xvbn+=wound
( ^zz++++=(MFW)
mfw ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
odor ^nn+++??+=odor,
, ^zz++++=EXTRAWORD
exudate ^nn+++??+=exudate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
In ^in++++=In
total ^nn++++=total,
, ^zz++++=EXTRAWORD
three ^cd++++=three
studies ^nns++++=studies
evaluated ^vwbn+++xvbn+=evaluated
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
antimicrobials ^nns+++??+=antimicrobials
in ^in++++=in
controlling ^xvbg+++xvbg+=controlling
Mfw ^np+++??+=MFW
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
including ^in++++=including
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
two ^cd++++=two
were ^vbd+bed+vrb++=were
randomized ^nn+++??+=randomized
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
and ^cc++++=and
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
a ^at++++=a
retrospective ^jj+atrb+++=retrospective
cohort ^nn++++=cohort
study ^nn++++=study
involving ^vwbg+++xvbg+=involving
192 ^cd++++=192
patients ^nns++++=patients
with ^in++++=with
Mfws ^np+++??+=MFWs,
, ^zz++++=EXTRAWORD
predominantly ^rb++++=predominantly
women ^nns++++=women
aged ^jj++++=aged
47 ^cd++++=47
to ^to++++=to
90 ^cd++++=90
years ^nns++++=years,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
of ^in++++=of
whom ^whp+rel+pied++=whom
had ^vb+hv+vrb++=had
breast ^nn++++=breast
cancer ^nn++++=cancer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
randomized ^nn+++??+=randomized
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
utilized ^vbd+++xvbn+=utilized
a ^at++++=a
verbal ^jj+atrb+++=verbal
numeric ^jj+atrb+++=numeric
scale ^nn++++=scale
and ^cc++++=and
a ^at++++=a
visual ^jj+atrb+++=visual
analog ^nn+++??+=analog
scale ^nn++++=scale
to ^to++++=to
assess ^vbi++++=assess
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
both ^abx++++=both
demonstrating ^jj+atrb++xvbg+=demonstrating
significant ^jj+atrb+++=significant
improvement ^nn++++=improvement
in ^in++++=in
pain ^nn++++=pain
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
retrospective ^jj+atrb+++=retrospective
cohort ^nn++++=cohort
study ^nn++++=study
did ^vbd+dod+aux++=did
not ^xnot++not++=not
observe ^vb+vprv+++=observe
a ^at++++=a
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
effect ^nn++++=effect
on ^in++++=on
pain ^nn++++=pain
outcomes ^nns++++=outcomes
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
7 ^zz++++=7).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
