All ^abn++++=All
athletes ^nns+++??+=athletes
completed ^vbd+++xvbn+=completed
the ^ati++++=the
Pmsl ^np+++??+=PMSL
( ^zz++++=(Engelmann,
engelmann ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
locker ^nn+++??+=locker
room ^nn++++=room
under ^in++++=under
three ^cd++++=three
conditions ^nns++++=conditions:
: ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
40 ^cd++++=40
minutes ^nns++++=minutes
before ^in++++=before
the ^ati++++=the
final ^jj+atrb+++=final
training ^nn++++=training
session ^nn++++=session
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
match ^nn++++=match
( ^zz++++=(Training-Previous
training ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
previous ^jj+atrb+++=EXTRAWORD
condition ^nn++++=condition),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
40 ^cd++++=40
minutes ^nns++++=minutes
before ^in++++=before
the ^ati++++=the
match ^nn++++=match
( ^zz++++=(Match
match ^nn++++=EXTRAWORD
condition ^nn++++=condition),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
approximately ^rb+down+++=approximately
40 ^cd++++=40
minutes ^nns++++=minutes
before ^in++++=before
the ^ati++++=the
first ^od++++=first
training ^nn++++=training
session ^nn++++=session
following ^vwbg+++xvbg+=following
the ^ati++++=the
match ^nn++++=match
( ^zz++++=(Training-Post
training ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
condition ^nn++++=condition).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
collection ^nn++++=collection
occurred ^vbd+++xvbn+=occurred
over ^in++++=over
three ^cd++++=three
consecutive ^jj+atrb+++=consecutive
championship ^nn++++=championship
rounds ^nns++++=rounds,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
three ^cd++++=three
assessments ^nns++++=assessments
for ^in++++=for
each ^dt++++=each
condition ^nn++++=condition:
: ^zz++++=EXTRAWORD
Training ^nn++++=Training-Previous
- ^zz++++=EXTRAWORD
previous ^jj++++=EXTRAWORD
( ^zz++++=(TR-PRE),
tr ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pre ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Match ^nn++++=Match
( ^zz++++=(MATCH),
match ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
training ^nn++++=Training-Post
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
( ^zz++++=(TR-POST).
tr ^nn++++=EXTRAWORD
-post). ^nn++++=EXTRAWORD
