These ^dt+dem+++=These
categories ^nns++++=categories
facilitate ^vb++++=facilitate
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
the ^ati++++=the
potential ^jj+atrb+++=potential
contributions ^nns++++=contributions
and ^cc++++=and
relevance ^nn++++=relevance
of ^in++++=of
gestures ^nns++++=gestures
to ^in++++=to
the ^ati++++=the
teaching ^jj+atrb++xvbg+=teaching
process ^nn++++=process,
, ^zz++++=EXTRAWORD
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
research ^nn++++=research
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
classroom ^nn++++=classroom
settings ^nns++++=settings
across ^in+pl+++=across
various ^jj+atrb+++=various
educational ^jj+atrb+++=educational
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
category ^nn++++=category
demonstrates ^vbz+vpub+++=demonstrates
that ^tht+vcmp+++=that
gestures ^nns++++=gestures
produced ^vwbn+++xvbn+=produced
by ^in++++=by
both ^abx++++=both
teachers ^nns++++=teachers
and ^cc++++=and
students ^nns++++=students
can ^md+pos+++=can
support ^vb++++=support
students ^nns++++=students
knowledge ^nn++++=knowledge
construction ^nn++++=construction;
; ^zz++++=EXTRAWORD
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
gestures ^nns++++=gestures
enable ^vb++++=enable
students ^nns++++=students
to ^to++++=to
express ^vbi++++=express
and ^cc++++=and
comprehend ^nn+++??+=comprehend
concepts ^nns++++=concepts
that ^tht+rel+obj++=that
may ^md+pos+++=may
otherwise ^rb+cnj+++=otherwise
be ^vb+be+vrb++=be
abstract ^jj+pred+++=abstract
or ^cc++++=or
disconnected ^nn+++??+=disconnected
from ^in++++=from
their ^pp$+pp3+++=their
everyday ^jjb+atrb+++=everyday
experiences ^nns++++=experiences.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
and ^cc++++=and
third ^od++++=third
categories ^nns++++=categories
highlight ^nn++++=highlight
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
analyzing ^nn+++??+=analyzing
non ^&fw++++=non-verbal
- ^zz++++=EXTRAWORD
verbal ^jj+atrb+++=EXTRAWORD
communication ^nn++++=communication,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
in ^in++++=in
both ^abx++++=both
students ^nns++++=students
and ^cc++++=and
teachers ^nns++++=teachers,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
teaching ^jj+atrb++xvbg+=teaching
and ^cc+phrs+++=and
learning ^jj+atrb++xvbg+=learning
process ^nn++++=process.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
analysis ^nn++++=analysis
provides ^vbz+vsua+++=provides
insights ^nns++++=insights
into ^in++++=into
students ^nns++++=students
questions ^nns++++=questions,
, ^zz++++=EXTRAWORD
levels ^nns++++=levels
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
factors ^nns++++=factors
that ^tht+rel+subj++=that
can ^md+pos+++=can
inform ^vb++++=inform
and ^cc+phrs+++=and
enhance ^vb++++=enhance
instructional ^jj+atrb+++=instructional
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
