Data ^nns++++=Data
collection ^nn++++=collection
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
an ^at++++=an
online ^nn+++??+=online
questionnaire ^nn++++=questionnaire
distributed ^vwbn+++xvbn+=distributed
via ^in++++=via
a ^at++++=a
Google ^np+++??+=Google
Forms ^nns++++=Forms
link ^nn++++=link,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
to ^in++++=to
the ^ati++++=the
institutional ^jj+atrb+++=institutional
email ^nn+++??+=email
addresses ^nns++++=addresses
of ^in++++=of
students ^nns++++=students
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
actively ^rb++splt++=actively
enrolled ^vpsv++agls+xvbnx+=enrolled
in ^in++++=in
health ^nn++++=health-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
programs ^nns+++??+=programs
at ^rb++++=at
a ^at++++=a
private ^jj+atrb+++=private
university ^nn++++=university
in ^in++++=in
Sergipe ^np+++??+=Sergipe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
home ^nr++++=home
institution ^nn++++=institution
of ^in++++=of
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
researchers ^nns++++=researchers.
. ^zz++++=EXTRAWORD
