Among ^in++++=Among
the ^ati++++=the
genera ^nns++++=genera,
, ^zz++++=EXTRAWORD
Ipomoea ^np+++??+=Ipomoea
L ^zz++++=L.
. ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
represented ^jj+++xvbn+=represented
with ^in++++=with
nine ^cd++++=nine
species ^nn++++=species,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Euphorbia ^np+++??+=Euphorbia
L ^zz++++=L.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Oxalis ^np+++??+=Oxalis
L ^zz++++=L.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tillandsia ^np+++??+=Tillandsia
L ^zz++++=L.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
five ^cd++++=five
species ^nn++++=species.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
life ^nn++++=life
forms ^nns++++=forms,
, ^zz++++=EXTRAWORD
herbaceous ^jj+atrb+++=herbaceous
species ^nn++++=species
were ^vbd+bed+vrb++=were
predominant ^jj+pred+++=predominant
( ^zz++++=(108
108 ^cd++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
trees ^nns++++=trees
( ^zz++++=(59
59 ^cd++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
subshrubs ^nns+++??+=subshrubs
( ^zz++++=(56
56 ^cd++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
shrubs ^nns++++=shrubs
( ^zz++++=(46
46 ^cd++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
lianas ^nns+++??+=lianas
( ^zz++++=(46
46 ^cd++++=EXTRAWORD
species ^nn++++=species),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
epiphytes ^nns+++??+=epiphytes
and ^cc++++=and
parasitic ^jj+atrb+++=parasitic
forms ^nns++++=forms
( ^zz++++=(four
four ^cd++++=EXTRAWORD
species ^nn++++=species).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
complete ^jj+atrb+++=complete
list ^nn++++=list
of ^in++++=of
all ^abn++++=all
species ^nns++++=species
is ^vbz+bez+aux++=is
provided ^vpsv++agls+xvbn+=provided
in ^in++++=in
table ^nn++++=Table
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
