A ^at++++=A
descriptive ^jj+atrb+++=descriptive
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
frequency ^nn++++=frequency
distributions ^nns++++=distributions,
, ^zz++++=EXTRAWORD
measures ^nns++++=measures
of ^in++++=of
central ^jj+atrb+++=central
tendency ^nn++++=tendency,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
measures ^nns++++=measures
of ^in++++=of
variability ^nn++++=variability.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
data ^nns++++=data
did ^vbd+dod+aux++=did
not ^xnot++not++=not
satisfy ^vb++++=satisfy
the ^ati++++=the
assumptions ^nns++++=assumptions
required ^vbd+++xvbn+=required
for ^in++++=for
parametric ^nn+++??+=parametric
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
Wilcoxon ^np+++??+=Wilcoxon
nonparametric ^nn+++??+=nonparametric
tests ^nns++++=tests
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
compare ^vbi++++=compare
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
oral ^jj+atrb+++=oral
health ^nn++++=health
on ^in++++=on
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
time ^nn++++=time
points ^nns++++=points
( ^zz++++=(t0
t0 ^nn+++??+=EXTRAWORD
and ^cc++++=and
t1 ^nn+++??+=t1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
to ^to++++=to
compare ^vbi++++=compare
patients ^nns++++=patients'
' ^zz++++=EXTRAWORD
perceptions ^nns++++=perceptions
of ^in++++=of
upper ^jjb+atrb+++=upper
and ^cc+phrs+++=and
lower ^jjr+atrb+++=lower
dentures ^nns++++=dentures.
. ^zz++++=EXTRAWORD
Comparisons ^nns++++=Comparisons
of ^in++++=of
patients ^nns++++=patients'
' ^zz++++=EXTRAWORD
perceptions ^nns++++=perceptions
regarding ^in++++=regarding
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
chew ^vbi++++=chew
different ^jj+atrb+++=different
foods ^nns++++=foods
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
the ^ati++++=the
Friedman ^np+++??+=Friedman
test ^nn++++=test.
. ^zz++++=EXTRAWORD
Effect ^nn++++=Effect
sizes ^nns++++=sizes
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated
for ^in++++=for
all ^rb++++=all
relevant ^jj+atrb+++=relevant
comparisons ^nns++++=comparisons.
. ^zz++++=EXTRAWORD
All ^abn++++=All
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
the ^ati++++=the
R1 ^np+++??+=R1
program ^nn+++??+=program,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
significance ^nn++++=significance
level ^nn++++=level
set ^vpsv++agls+xvbn+=set
at ^rb++++=at
5 ^zz++++=5%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
