This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
initial ^jj+atrb+++=initial
version ^nn++++=version
of ^in++++=of
the ^ati++++=the
proposed ^jj+atrb++xvbn+=proposed
quality ^nn++++=quality
assessment ^nn++++=assessment
tool ^nn++++=tool
for ^in++++=for
Self ^nn++++=Self-Controlled
- ^zz++++=EXTRAWORD
controlled ^vbd+++xvbn+=EXTRAWORD
Case ^nn++++=Case
Series ^nn++++=Series
( ^zz++++=(SCCS)
sccs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Self ^nn++++=Self-Controlled
- ^zz++++=EXTRAWORD
controlled ^vbd+++xvbn+=EXTRAWORD
Risk ^vb++++=Risk
Interval ^nn++++=Interval
( ^zz++++=(SCRI)
scri ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
applied ^vpsv++agls+xvbnx+=applied
in ^in++++=in
five ^cd++++=five
studies ^nns++++=studies:
: ^zz++++=EXTRAWORD
one ^cd1++++=one
master ^npt++++=master
s ^zz++++=s
dissertation ^nn+++??+=dissertation,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
published ^vbd+++xvbn+=published
article ^nn++++=article,
, ^zz++++=EXTRAWORD
two ^cd++++=two
unpublished ^jj+atrb+++=unpublished
scientific ^jj+atrb+++=scientific
initiation ^nn++++=initiation
projects ^nns++++=projects,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
thesis ^nn++++=thesis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
article ^nn++++=article
submitted ^vbd+vpub++xvbn+=submitted
for ^in++++=for
publication ^nn++++=publication
( ^zz++++=(20
20 ^cd++++=EXTRAWORD
23 ^cd++++=23).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
tool ^nn++++=tool
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
Newcastle ^np++++=Newcastle-Ottawa
- ^zz++++=EXTRAWORD
ottawa ^np++++=EXTRAWORD
Criteria ^nns++++=Criteria
( ^zz++++=(NOC),
noc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
a ^at++++=a
peer ^nn++++=peer-reviewed
- ^zz++++=EXTRAWORD
reviewed ^vbd+++xvbn+=EXTRAWORD
journal ^nn++++=journal.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
the ^ati++++=the
instrument ^nn++++=instrument
was ^vbd+bedz+aux++=was
developed ^vpsv++agls+xvbnx+=developed
using ^vbg+++xvbg+=using
the ^ati++++=the
Delphi ^np+++??+=Delphi
method ^nn++++=method,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
tested ^vpsv++agls+xvbnx+=tested
in ^in++++=in
multiple ^jj+atrb+++=multiple
systematic ^jj+atrb+++=systematic
reviews ^nns++++=reviews,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
revised ^vpsv++agls+xvbnx+=revised
throughout ^in++++=throughout
this ^dt+dem+++=this
process ^nn++++=process
( ^zz++++=(25).
25 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
criticisms ^nns++++=criticisms
of ^in++++=of
the ^ati++++=the
Newcastle ^np++++=Newcastle-Ottawa
- ^zz++++=EXTRAWORD
ottawa ^np++++=EXTRAWORD
Scale ^nn++++=Scale
( ^zz++++=(NOS),
nos ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
widely ^rb++splt++=widely
used ^md"++pmd"++=used
to ^to++++=to
assess ^vb++++=assess
studies ^nns++++=studies
included ^vbd+++xvbn+=included
in ^in++++=in
published ^vbd+++xvbn+=published
systematic ^jj+atrb+++=systematic
reviews ^nns++++=reviews,
, ^zz++++=EXTRAWORD
supporting ^vbg+++xvbg+=supporting
its ^pp$+it+++=its
validity ^nn++++=validity
and ^cc++++=and
applicability ^nn++++=applicability.
. ^zz++++=EXTRAWORD
